"","numero","data_autuacao","data_baixa","tem_rito_art_12","em_tramitacao","resultado"
"154",472,2017-07-13,2017-11-06,"Não","Não","Sem mérito"
"155",473,2017-07-25,NA,"Não","Sim","Sem julgamento"
"156",474,2017-08-19,2024-09-30,"Não","Não","Procedente em parte"
"157",475,2017-08-19,2023-05-12,"Sim","Não","Improcedente"
"158",476,2017-08-22,2020-03-20,"Não","Não","Prejudicado"
"159",477,2017-08-24,2019-10-29,"Não","Não","Prejudicado"
"160",478,2017-08-29,2018-02-26,"Não","Não","Sem mérito"
"161",479,2017-08-30,2017-11-21,"Não","Não","Sem mérito"
"162",480,2017-09-15,2018-05-04,"Não","Não","Sem mérito"
"163",481,2017-09-15,2018-08-07,"Não","Não","Sem mérito"
"164",482,2017-09-15,2020-04-06,"Não","Não","Procedente"
"165",483,2017-09-21,2019-06-25,"Sim","Não","Sem mérito"
"166",484,2017-09-25,2020-11-19,"Não","Não","Procedente em parte"
"167",485,2017-09-25,2021-02-17,"Não","Não","Procedente"
"168",486,2017-10-06,2023-09-06,"Não","Não","Procedente em parte"
"169",487,2017-10-09,2018-03-23,"Não","Não","Sem mérito"
"170",488,2017-10-11,2024-03-04,"Não","Não","Sem mérito"
"171",489,2017-10-20,2020-04-02,"Não","Não","Prejudicado"
"172",490,2017-10-20,NA,"Sim","Sim","Sem julgamento"
"173",491,2017-10-20,2020-06-08,"Não","Não","Prejudicado"
"174",492,2017-10-23,2021-02-08,"Sim","Não","Procedente"
"175",493,2017-10-23,2021-02-12,"Não","Não","Procedente"
"176",494,2017-10-27,2023-03-24,"Sim","Não","Sem mérito"
"177",495,2017-10-30,2023-05-26,"Sim","Não","Procedente"
"178",496,2017-10-30,2022-11-22,"Sim","Não","Improcedente"
"179",497,2017-11-21,2019-11-04,"Não","Não","Sem mérito"
"180",498,2017-11-23,2020-06-01,"Não","Não","Sem mérito"
"181",499,2017-11-23,2023-08-09,"Sim","Não","Procedente"
"182",500,2017-11-28,2022-05-11,"Não","Não","Sem mérito"
"183",501,2017-11-30,2022-09-20,"Não","Não","Procedente"
"184",502,2017-12-18,2018-03-19,"Não","Não","Sem mérito"
"185",503,2017-12-13,2019-11-05,"Não","Não","Sem mérito"
"186",504,2017-12-14,2020-12-09,"Não","Não","Procedente"
"187",505,2017-12-21,2018-08-26,"Não","Não","Prejudicado"
"188",506,2017-12-21,2018-04-13,"Não","Não","Sem mérito"
"189",507,2018-01-08,2018-04-13,"Não","Não","Sem mérito"
"190",508,2018-01-19,2020-08-11,"Não","Não","Sem mérito"
"191",509,2018-01-26,NA,"Não","Sim","Sem julgamento"
"192",510,2018-02-06,2018-08-09,"Não","Não","Sem mérito"
"193",511,2018-02-21,2024-04-11,"Sim","Não","Sem mérito"
"194",512,2018-02-23,2024-02-09,"Não","Não","Procedente"
"195",513,2018-03-02,2021-02-17,"Não","Não","Procedente"
"196",514,2018-04-20,2019-10-02,"Não","Não","Procedente"
"197",515,2018-05-02,2020-12-09,"Não","Não","Prejudicado"
"198",516,2018-05-10,2019-09-23,"Não","Não","Procedente"
"199",517,2018-05-16,2019-10-09,"Não","Não","Sem mérito"
"200",518,2018-05-16,2023-04-28,"Sim","Não","Sem mérito"
"201",519,2018-05-25,NA,"Não","Sim","Sem julgamento"
"202",520,2018-06-07,2018-08-24,"Não","Não","Sem mérito"
"203",521,2018-06-11,2018-09-28,"Não","Não","Sem mérito"
"204",522,2018-06-12,NA,"Não","Sim","Sem julgamento"
"205",523,2018-06-12,2021-03-11,"Não","Não","Improcedente"
