"","classe","numero","data_autuacao","data_baixa","relator_atual","evento","tempo"
"116","ADPF","434",2016-11-18,2025-06-06,"MIN. NUNES MARQUES",0,3122
"117","ADPF","435",2016-11-23,2018-10-02,"MIN. DIAS TOFFOLI",1,678
"118","ADPF","436",2016-11-30,2017-02-24,"MIN. DIAS TOFFOLI",1,86
"119","ADPF","437",2016-12-20,2020-10-26,"MIN. ROSA WEBER",1,1406
"120","ADPF","438",2016-12-20,2020-02-07,"MIN. ROSA WEBER",1,1144
"121","ADPF","439",2017-01-02,2017-06-13,"MIN. ALEXANDRE DE MORAES",1,162
"122","ADPF","440",2017-02-15,2020-02-10,"MIN. ROSA WEBER",1,1090
"123","ADPF","441",2017-02-24,2017-08-25,"MIN. ROSA WEBER",1,182
"124","ADPF","442",2017-03-08,2025-06-06,"MIN. FLÁVIO DINO",0,3012
"125","ADPF","443",2017-03-14,2020-05-19,"MIN. LUIZ FUX",1,1162
"126","ADPF","444",2017-03-14,2020-06-18,"MIN. GILMAR MENDES",1,1192
"127","ADPF","445",2017-03-22,2025-06-06,"MIN. LUIZ FUX",0,2998
"128","ADPF","446",2017-03-22,2019-11-06,"MIN. ALEXANDRE DE MORAES",1,959
"129","ADPF","447",2017-03-29,2017-08-23,"MIN. DIAS TOFFOLI",1,147
"130","ADPF","448",2017-04-05,2020-12-15,"MIN. ROSA WEBER",1,1350
"131","ADPF","449",2017-04-07,2019-11-04,"MIN. LUIZ FUX",1,941
"132","ADPF","450",2017-04-18,2019-10-08,"MIN. CÁRMEN LÚCIA",1,903
"133","ADPF","451",2017-04-27,2019-02-21,"MIN. ALEXANDRE DE MORAES",1,665
"134","ADPF","452",2017-05-03,2020-05-27,"MIN. CÁRMEN LÚCIA",1,1120
"135","ADPF","453",2017-05-04,2019-12-13,"MIN. ROSA WEBER",1,953
"136","ADPF","454",2017-05-08,2025-06-06,"MIN. CRISTIANO ZANIN",0,2951
"137","ADPF","455",2017-05-11,2023-08-14,"MIN. DIAS TOFFOLI",1,2286
"138","ADPF","456",2017-05-16,2017-08-31,"MIN. RICARDO LEWANDOWSKI",1,107
"139","ADPF","457",2017-05-22,2020-06-16,"MIN. ALEXANDRE DE MORAES",1,1121
"140","ADPF","458",2017-05-23,2019-11-22,"MIN. CÁRMEN LÚCIA",1,913
"141","ADPF","459",2017-05-25,2017-08-03,"MIN. EDSON FACHIN",1,70
"142","ADPF","460",2017-06-06,2020-09-11,"MIN. LUIZ FUX",1,1193
"143","ADPF","461",2017-06-06,2020-10-08,"MIN. LUÍS ROBERTO BARROSO",1,1220
"144","ADPF","462",2017-06-06,2024-08-30,"MIN. EDSON FACHIN",1,2642
"145","ADPF","463",2017-06-07,2019-03-08,"MIN. RICARDO LEWANDOWSKI",1,639
"146","ADPF","464",2017-06-08,2018-11-08,"MIN. RICARDO LEWANDOWSKI",1,518
