"","numero","data_autuacao","data_baixa","tem_rito_art_12","resultado","evento","tempo"
"378",740,2020-09-09,2020-11-19,"Não","Sem mérito",1,71
"379",741,2020-09-10,2020-10-20,"Não","Sem mérito",1,40
"380",744,2020-09-18,2023-03-01,"Não","Prejudicado",1,894
"381",745,2020-09-18,2023-12-18,"Não","Improcedente",1,1186
"382",747,2020-09-30,2022-02-09,"Não","Procedente",1,497
"383",748,2020-10-01,2022-08-16,"Não","Procedente em parte",1,684
"384",749,2020-10-02,2022-02-09,"Não","Procedente em parte",1,495
"385",750,2020-10-06,2021-12-15,"Não","Sem mérito",1,435
"386",751,2020-10-06,2023-03-01,"Não","Sem mérito",1,876
"387",752,2020-10-08,2021-02-09,"Sim","Sem mérito",1,124
"388",753,2020-10-16,2021-05-18,"Não","Sem mérito",1,214
"389",754,2020-10-22,2023-09-26,"Não","Sem mérito",1,1069
"390",755,2020-10-22,2024-02-23,"Não","Sem mérito",1,1219
"391",756,2020-10-23,2023-09-19,"Não","Sem mérito",1,1061
"392",757,2020-10-28,2021-04-27,"Não","Sem mérito",1,181
"393",761,2020-11-12,2023-03-07,"Não","Prejudicado",1,845
"394",763,2020-11-13,2022-11-28,"Não","Improcedente",1,745
"395",764,2020-11-25,2021-10-08,"Não","Procedente",1,317
"396",767,2020-11-27,2023-03-10,"Sim","Sem mérito",1,833
"397",768,2020-12-07,2021-02-24,"Não","Sem mérito",1,79
"398",770,2020-12-09,2023-11-28,"Não","Sem mérito",1,1084
"399",771,2020-12-11,2021-10-19,"Não","Sem mérito",1,312
"400",772,2020-12-11,2023-08-12,"Sim","Prejudicado",1,974
"401",773,2020-12-14,2021-05-10,"Não","Sem mérito",1,147
"402",775,2020-12-15,2024-08-30,"Não","Sem mérito",1,1354
"403",776,2020-12-15,2023-08-14,"Não","Sem mérito",1,972
"404",777,2020-12-17,2025-05-14,"Não","Procedente em parte",1,1609
"405",778,2021-01-06,2022-03-15,"Não","Sem mérito",1,433
