"","classe","numero","data_autuacao","data_baixa","evento","tempo"
"281","ADPF","286",2013-07-24,2020-06-03,1,2506
"282","ADPF","287",2013-08-05,2014-08-13,1,373
"283","ADPF","288",2013-08-12,2013-11-06,1,86
"284","ADPF","289",2013-08-14,2025-06-06,0,4314
"285","ADPF","290",2013-09-09,2020-12-04,1,2643
"286","ADPF","291",2013-09-10,2016-06-10,1,1004
"287","ADPF","292",2013-09-17,2020-08-14,1,2523
"288","ADPF","293",2013-09-17,2025-06-06,0,4280
"289","ADPF","294",2013-10-16,2013-11-06,1,21
"290","ADPF","304",2013-11-07,2017-12-15,1,1499
"291","ADPF","305",2013-11-11,2021-08-12,1,2831
"292","ADPF","306",2013-11-14,2021-06-18,1,2773
"293","ADPF","307",2013-11-21,2014-05-14,1,174
"294","ADPF","308",2013-11-29,2013-12-18,1,19
"295","ADPF","309",2013-12-10,2025-06-06,0,4196
"296","ADPF","310",2013-12-16,2020-05-04,1,2331
"297","ADPF","311",2013-12-17,2017-03-08,1,1177
"298","ADPF","312",2013-12-17,2021-08-12,1,2795
"299","ADPF","313",2013-12-17,2014-02-12,1,57
"300","ADPF","314",2013-12-19,2015-03-06,1,442
"301","ADPF","315",2014-01-16,2014-01-16,1,0
"302","ADPF","316",2014-01-22,2025-05-27,1,4143
"303","ADPF","317",2014-02-10,2016-06-21,1,862
"304","ADPF","318",2014-02-24,2014-10-23,1,241
"305","ADPF","319",2014-04-03,2015-02-18,1,321
"306","ADPF","320",2014-05-15,2025-06-06,0,4040
"307","ADPF","321",2014-05-25,2025-06-06,0,4030
"308","ADPF","322",2014-05-30,2025-06-06,0,4025
"309","ADPF","323",2014-06-27,2022-09-26,1,3013
"310","ADPF","324",2014-08-25,2021-10-01,1,2594
"311","ADPF","325",2014-08-27,2022-05-06,1,2809
"312","ADPF","326",2014-09-09,2016-03-07,1,545
"313","ADPF","327",2014-09-16,2014-11-06,1,51
"314","ADPF","328",2014-10-03,2021-08-12,1,2505
"315","ADPF","329",2014-12-02,2015-02-18,1,78
"316","ADPF","330",2015-01-16,2020-04-06,1,1907
"317","ADPF","331",2015-02-04,2015-02-05,1,1
"318","ADPF","332",2015-02-20,2019-08-30,1,1652
"319","ADPF","333",2015-02-26,2015-06-09,1,103
"320","ADPF","334",2015-03-09,2023-06-05,1,3010
"321","ADPF","335",2015-03-13,2021-09-27,1,2390
"322","ADPF","336",2015-03-17,2021-05-19,1,2255
"323","ADPF","337",2015-03-23,2019-08-09,1,1600
"324","ADPF","338",2015-03-23,2025-06-06,0,3728
"325","ADPF","339",2015-03-26,2016-08-16,1,509
"326","ADPF","340",2015-04-08,2019-06-07,1,1521
"327","ADPF","341",2015-04-09,2023-03-10,1,2892
"328","ADPF","342",2015-04-16,2025-06-06,0,3704
"329","ADPF","343",2015-05-07,2016-11-24,1,567
"330","ADPF","344",2015-05-07,2020-09-23,1,1966
"331","ADPF","345",2015-05-16,2015-06-16,1,31
"332","ADPF","346",2015-05-22,2015-08-13,1,83
"333","ADPF","347",2015-05-27,2025-06-06,0,3663
"334","ADPF","348",2015-06-01,2025-06-06,0,3658
"335","ADPF","349",2015-06-01,2020-09-21,1,1939
"336","ADPF","350",2015-06-16,2016-12-15,1,548
"337","ADPF","351",2015-06-17,2025-06-06,0,3642
"338","ADPF","352",2015-06-17,2015-08-12,1,56
"339","ADPF","353",2015-06-30,2021-09-27,1,2281
"340","ADPF","354",2015-07-02,2016-10-27,1,483
"341","ADPF","355",2015-07-07,2019-10-21,1,1567
"342","ADPF","356",2015-07-27,2018-06-08,1,1047
"343","ADPF","357",2015-07-28,2021-10-18,1,2274
"344","ADPF","358",2015-08-03,2015-10-21,1,79
"345","ADPF","359",2015-08-05,2015-10-22,1,78
"346","ADPF","360",2015-08-06,2019-11-04,1,1551
"347","ADPF","361",2015-08-10,2019-10-09,1,1521
"348","ADPF","362",2015-08-13,2024-05-02,1,3185
"349","ADPF","363",2015-08-18,2015-09-10,1,23
"350","ADPF","364",2015-08-21,2019-10-16,1,1517
"351","ADPF","365",2015-08-24,2018-08-24,1,1096
"352","ADPF","366",2015-08-31,2025-03-14,1,3483
"353","ADPF","367",2015-09-01,2021-03-11,1,2018
"354","ADPF","368",2015-09-02,2021-09-24,1,2214
"355","ADPF","369",2015-09-18,2020-10-28,1,1867
"356","ADPF","370",2015-09-21,2020-10-20,1,1856
"357","ADPF","371",2015-10-07,2016-02-16,1,132
"358","ADPF","372",2015-10-28,2017-04-17,1,537
"359","ADPF","375",2015-11-04,2019-04-22,1,1265
"360","ADPF","376",2015-11-19,2020-05-22,1,1646
"361","ADPF","377",2015-11-23,2017-09-04,1,651
"362","ADPF","378",2015-12-03,2016-08-25,1,266
"363","ADPF","379",2015-12-05,2025-06-06,0,3471
"364","ADPF","380",2016-01-15,2020-06-19,1,1617
"365","ADPF","381",2016-01-19,2023-05-09,1,2667
"366","ADPF","382",2016-01-28,2016-03-10,1,42
"367","ADPF","383",2016-01-28,2016-03-10,1,42
"368","ADPF","384",2016-02-01,2020-10-20,1,1723
"369","ADPF","385",2016-02-15,2017-11-22,1,646
"370","ADPF","386",2016-02-22,2020-11-10,1,1723
"371","ADPF","387",2016-03-01,2017-12-07,1,646
"372","ADPF","388",2016-03-03,2016-08-25,1,175
"373","ADPF","389",2016-03-10,2020-11-02,1,1698
"374","ADPF","390",2016-03-17,2017-09-18,1,550
"375","ADPF","391",2016-03-17,2017-10-09,1,571
"376","ADPF","392",2016-03-30,2017-02-23,1,330
"377","ADPF","393",2016-04-08,2017-05-10,1,397
"378","ADPF","394",2016-04-11,2017-03-16,1,339
"379","ADPF","395",2016-04-11,2019-10-23,1,1290
"380","ADPF","396",2016-04-14,2020-03-19,1,1435
"381","ADPF","397",2016-04-14,2016-05-23,1,39
"382","ADPF","398",2016-04-15,2022-08-31,1,2329
"383","ADPF","399",2016-05-02,2020-06-09,1,1499
"384","ADPF","400",2016-05-02,2025-06-06,0,3322
"385","ADPF","401",2016-05-02,2023-05-08,1,2562
