"","classe","numero","data_autuacao","data_baixa","tem_rito_art_12","evento","tempo"
"225","ADPF","541",2018-09-19,2019-06-04,"Não",1,258
"226","ADPF","542",2018-09-25,2020-11-13,"Não",1,780
"227","ADPF","543",2018-09-27,2019-03-13,"Não",1,167
"228","ADPF","544",2018-10-09,2022-06-27,"Não",1,1357
"229","ADPF","545",2018-10-11,2019-04-08,"Não",1,179
"230","ADPF","546",2018-10-17,2023-02-27,"Sim",1,1594
"231","ADPF","547",2018-10-17,2021-06-30,"Não",1,987
"232","ADPF","548",2018-10-26,2020-06-24,"Não",1,607
"233","ADPF","549",2018-10-30,2020-10-05,"Não",1,706
"234","ADPF","550",2018-11-09,2024-03-20,"Sim",1,1958
"235","ADPF","551",2018-11-19,2019-03-05,"Não",1,106
"236","ADPF","552",2018-11-20,2019-09-09,"Não",1,293
"237","ADPF","553",2018-11-20,2019-05-31,"Não",1,192
"238","ADPF","554",2018-11-21,2020-06-10,"Sim",1,567
"239","ADPF","555",2018-11-23,2020-05-27,"Não",1,551
"240","ADPF","556",2018-11-28,2020-08-28,"Não",1,639
"241","ADPF","557",2018-12-04,2025-06-06,"Não",0,2376
"242","ADPF","558",2018-12-11,2019-02-21,"Não",1,72
"243","ADPF","559",2018-12-12,2022-08-12,"Não",1,1339
"244","ADPF","560",2018-12-14,2020-03-09,"Não",1,451
"245","ADPF","561",2019-01-02,2020-11-26,"Não",1,694
"246","ADPF","562",2019-01-14,2019-08-09,"Não",1,207
"247","ADPF","563",2019-01-14,2021-03-30,"Não",1,806
"248","ADPF","564",2019-01-21,2025-06-06,"Não",0,2328
"249","ADPF","565",2019-02-25,2019-08-13,"Não",1,169
"250","ADPF","566",2019-02-26,2019-09-23,"Não",1,209
"251","ADPF","567",2019-02-28,2021-04-12,"Não",1,774
"252","ADPF","568",2019-03-12,2019-10-14,"Não",1,216
"253","ADPF","569",2019-03-13,2024-06-17,"Não",1,1923
"254","ADPF","570",2019-03-14,2019-09-30,"Não",1,200
"255","ADPF","571",2019-03-19,2021-10-13,"Não",1,939
"256","ADPF","572",2019-03-25,2020-11-26,"Não",1,612
"257","ADPF","573",2019-03-25,2023-05-04,"Não",1,1501
"258","ADPF","574",2019-03-28,2021-05-10,"Não",1,774
"259","ADPF","575",2019-04-02,2019-05-31,"Não",1,59
"260","ADPF","576",2019-04-11,2019-06-13,"Não",1,63
"261","ADPF","577",2019-04-12,2019-11-05,"Não",1,207
"262","ADPF","578",2019-04-12,2025-06-06,"Sim",0,2247
"263","ADPF","579",2019-04-24,2021-02-03,"Não",1,651
"264","ADPF","580",2019-05-04,2019-08-06,"Não",1,94
"265","ADPF","581",2019-05-08,2024-02-16,"Não",1,1745
"266","ADPF","582",2019-05-14,2020-10-13,"Sim",1,518
"267","ADPF","583",2019-05-15,2020-10-15,"Sim",1,519
"268","ADPF","584",2019-05-17,2020-03-27,"Não",1,315
"269","ADPF","585",2019-05-21,2022-05-06,"Não",1,1081
"270","ADPF","586",2019-05-23,2024-02-16,"Não",1,1730
"271","ADPF","587",2019-05-27,2020-10-06,"Não",1,498
"272","ADPF","588",2019-05-28,2022-03-28,"Não",1,1035
"273","ADPF","589",2019-05-28,2019-08-07,"Não",1,71
"274","ADPF","590",2019-06-12,2020-10-06,"Sim",1,482
"275","ADPF","591",2019-06-12,2024-11-05,"Não",1,1973
"276","ADPF","592",2019-06-14,2024-02-23,"Não",1,1715
"277","ADPF","593",2019-06-18,2025-02-14,"Não",1,2068
"278","ADPF","594",2019-06-18,2023-02-06,"Não",1,1329
"279","ADPF","595",2019-06-19,2020-10-22,"Não",1,491
"280","ADPF","596",2019-06-21,2022-08-17,"Não",1,1153
"281","ADPF","597",2019-06-24,2020-09-28,"Não",1,462
"282","ADPF","598",2019-06-27,2021-08-12,"Não",1,777
"283","ADPF","599",2019-06-28,2025-06-06,"Não",0,2170
"284","ADPF","600",2019-07-10,2020-10-01,"Não",1,449
"285","ADPF","601",2019-07-11,2023-08-10,"Não",1,1491
"286","ADPF","602",2019-07-22,2019-09-10,"Não",1,50
"287","ADPF","603",2019-07-25,2022-08-22,"Sim",1,1124
"288","ADPF","604",2019-07-26,2019-08-30,"Não",1,35
"289","ADPF","605",2019-07-26,2025-06-06,"Não",0,2142
"290","ADPF","606",2019-07-29,2025-06-06,"Sim",0,2139
"291","ADPF","607",2019-07-31,2022-06-09,"Sim",1,1044
"292","ADPF","608",2019-08-02,2019-09-12,"Não",1,41
"293","ADPF","609",2019-08-06,2020-05-27,"Não",1,295
"294","ADPF","610",2019-08-13,2022-11-09,"Sim",1,1184
"295","ADPF","611",2019-08-15,2019-09-13,"Não",1,29
"296","ADPF","612",2019-08-19,2020-10-09,"Não",1,417
"297","ADPF","613",2019-08-19,2020-09-01,"Não",1,379
"298","ADPF","614",2019-08-27,2021-04-29,"Sim",1,611
"299","ADPF","615",2019-08-28,2025-06-06,"Não",0,2109
"300","ADPF","616",2019-09-02,2022-11-29,"Não",1,1184
"301","ADPF","617",2019-09-09,2020-02-12,"Não",1,156
"302","ADPF","618",2019-09-09,2025-06-06,"Sim",0,2097
"303","ADPF","619",2019-09-12,2022-09-17,"Não",1,1101
"304","ADPF","620",2019-09-13,2021-03-23,"Não",1,557
"305","ADPF","621",2019-09-16,2020-06-16,"Não",1,274
"306","ADPF","622",2019-09-16,2021-06-07,"Não",1,630
"307","ADPF","623",2019-09-16,2023-08-09,"Não",1,1423
"308","ADPF","624",2019-09-17,2020-10-23,"Não",1,402
"309","ADPF","625",2019-10-04,2020-02-13,"Não",1,132
"310","ADPF","626",2019-10-07,2025-06-06,"Não",0,2069
"311","ADPF","627",2019-10-15,2020-11-05,"Não",1,387
"312","ADPF","628",2019-10-16,2020-04-22,"Não",1,189
"313","ADPF","629",2019-10-18,2020-02-21,"Não",1,126
"314","ADPF","630",2019-10-23,2021-05-28,"Sim",1,583
"315","ADPF","631",2019-10-30,2019-12-05,"Não",1,36
"316","ADPF","632",2019-11-12,2020-03-03,"Não",1,112
"317","ADPF","633",2019-11-18,2020-04-06,"Não",1,140
"318","ADPF","634",2019-11-19,2023-04-24,"Não",1,1252
"319","ADPF","635",2019-11-20,2025-06-06,"Não",0,2025
"320","ADPF","636",2019-11-26,2020-02-14,"Não",1,80
"321","ADPF","637",2019-12-12,2025-06-06,"Não",0,2003
"322","ADPF","638",2019-12-13,2022-03-24,"Não",1,832
"323","ADPF","639",2019-12-17,2021-08-23,"Não",1,615
"324","ADPF","640",2019-12-18,2023-10-30,"Não",1,1412
"325","ADPF","641",2019-12-19,2020-10-21,"Não",1,307
"326","ADPF","642",2019-12-20,2025-06-06,"Não",0,1995
"327","ADPF","643",2020-01-06,2024-03-11,"Não",1,1526
"328","ADPF","644",2020-01-08,2024-03-11,"Não",1,1524
"329","ADPF","645",2020-01-13,2020-04-30,"Não",1,108
"330","ADPF","646",2020-01-24,2022-08-16,"Não",1,935
"331","ADPF","647",2020-01-23,2022-03-15,"Sim",1,782
"332","ADPF","648",2020-02-03,2021-10-04,"Sim",1,609
"333","ADPF","649",2020-02-05,2022-03-29,"Não",1,783
"334","ADPF","650",2020-02-06,2021-02-12,"Não",1,372
"335","ADPF","651",2020-02-10,2022-11-09,"Não",1,1003
"336","ADPF","652",2020-02-10,2020-03-25,"Não",1,44
"337","ADPF","653",2020-02-14,2020-05-04,"Não",1,80
"338","ADPF","654",2020-02-20,2020-05-15,"Não",1,85
"339","ADPF","655",2020-03-03,2020-11-25,"Não",1,267
"340","ADPF","656",2020-03-03,2022-05-25,"Não",1,813
"341","ADPF","657",2020-03-08,2025-06-06,"Não",0,1916
"342","ADPF","658",2020-03-09,2022-05-25,"Não",1,807
"343","ADPF","659",2020-03-23,2022-05-17,"Não",1,785
"344","ADPF","660",2020-03-23,2020-04-30,"Não",1,38
"345","ADPF","661",2020-03-23,2021-09-28,"Não",1,554
"346","ADPF","662",2020-03-24,2022-06-21,"Não",1,819
"347","ADPF","663",2020-03-24,2021-09-30,"Não",1,555
"348","ADPF","664",2020-03-26,2021-05-13,"Não",1,413
"349","ADPF","665",2020-03-26,2022-06-27,"Sim",1,823
"350","ADPF","666",2020-03-26,2020-06-01,"Não",1,67
"351","ADPF","667",2020-03-27,2025-06-06,"Não",0,1897
"352","ADPF","668",2020-03-30,2020-06-02,"Não",1,64
"353","ADPF","669",2020-03-30,2020-06-03,"Não",1,65
"354","ADPF","670",2020-03-30,2024-06-10,"Não",1,1533
"355","ADPF","671",2020-03-31,2020-08-20,"Não",1,142
"356","ADPF","672",2020-04-01,2020-11-13,"Não",1,226
"357","ADPF","673",2020-04-02,2022-05-02,"Sim",1,760
"358","ADPF","674",2020-04-13,2022-04-05,"Não",1,722
"359","ADPF","675",2020-04-14,2020-05-15,"Não",1,31
"360","ADPF","676",2020-04-20,2020-11-18,"Não",1,212
"361","ADPF","677",2020-04-22,2025-06-06,"Não",0,1871
"362","ADPF","678",2020-04-28,2020-05-26,"Não",1,28
"363","ADPF","679",2020-05-04,2020-06-01,"Não",1,28
"364","ADPF","680",2020-05-06,2025-03-25,"Não",1,1784
"365","ADPF","681",2020-05-07,2022-04-01,"Não",1,694
"366","ADPF","682",2020-05-08,2020-06-16,"Não",1,39
"367","ADPF","683",2020-05-11,2022-03-30,"Não",1,688
"368","ADPF","684",2020-05-13,2024-03-18,"Não",1,1405
"369","ADPF","685",2020-05-27,2021-04-14,"Não",1,322
"370","ADPF","686",2020-05-27,2021-11-11,"Não",1,533
"371","ADPF","687",2020-05-27,2020-08-17,"Não",1,82
"372","ADPF","688",2020-06-03,2021-02-03,"Não",1,245
"373","ADPF","689",2020-06-08,2020-08-23,"Não",1,76
"374","ADPF","690",2020-06-08,2021-04-28,"Não",1,324
"375","ADPF","691",2020-06-09,2021-04-28,"Não",1,323
"376","ADPF","692",2020-06-09,2021-04-28,"Não",1,323
"377","ADPF","693",2020-06-12,2022-03-28,"Sim",1,654
"378","ADPF","694",2020-06-16,2021-10-19,"Não",1,490
"379","ADPF","695",2020-06-16,2023-06-30,"Não",1,1109
"380","ADPF","696",2020-06-16,2021-08-06,"Não",1,416
"381","ADPF","697",2020-06-18,2021-08-25,"Não",1,433
"382","ADPF","698",2020-06-19,2020-08-21,"Não",1,63
"383","ADPF","699",2020-06-19,2020-08-24,"Não",1,66
"384","ADPF","700",2020-06-19,2020-08-21,"Não",1,63
"385","ADPF","701",2020-06-22,2022-11-23,"Não",1,884
"386","ADPF","702",2020-06-22,2022-11-23,"Não",1,884
"387","ADPF","703",2020-06-22,2021-03-11,"Não",1,262
"388","ADPF","704",2020-06-23,2021-09-22,"Sim",1,456
"389","ADPF","705",2020-06-24,2021-08-20,"Não",1,422
"390","ADPF","706",2020-06-30,2022-04-06,"Não",1,645
"391","ADPF","707",2020-06-30,2023-03-10,"Não",1,983
"392","ADPF","708",2020-06-30,2023-06-19,"Não",1,1084
"393","ADPF","709",2020-07-01,2025-06-06,"Não",0,1801
"394","ADPF","710",2020-07-01,2021-08-18,"Não",1,413
"395","ADPF","711",2020-07-02,2020-12-15,"Não",1,166
"396","ADPF","712",2020-07-02,2023-08-10,"Não",1,1134
"397","ADPF","713",2020-07-07,2022-04-06,"Não",1,638
"398","ADPF","714",2020-07-06,2021-12-13,"Não",1,525
"399","ADPF","715",2020-07-07,2021-03-08,"Sim",1,244
"400","ADPF","716",2020-07-07,2025-06-06,"Não",0,1795
"401","ADPF","717",2020-07-09,2022-11-17,"Sim",1,861
"402","ADPF","718",2020-07-09,2021-03-05,"Não",1,239
"403","ADPF","719",2020-07-09,2021-09-22,"Não",1,440
"404","ADPF","720",2020-07-15,2021-08-27,"Não",1,408
"405","ADPF","721",2020-07-17,2021-09-22,"Não",1,432
"406","ADPF","722",2020-07-27,2022-06-20,"Não",1,693
"407","ADPF","723",2020-08-05,2021-04-27,"Sim",1,265
"408","ADPF","724",2020-08-12,2020-12-09,"Não",1,119
"409","ADPF","725",2020-08-20,2020-12-07,"Não",1,109
"410","ADPF","726",2020-08-21,2021-08-25,"Não",1,369
"411","ADPF","727",2020-08-24,2023-09-19,"Sim",1,1121
"412","ADPF","728",2020-08-25,2021-05-04,"Não",1,252
"413","ADPF","729",2020-08-25,2020-12-09,"Não",1,106
"414","ADPF","730",2020-08-25,2023-09-25,"Não",1,1126
"415","ADPF","731",2020-08-25,2021-04-14,"Sim",1,232
"416","ADPF","732",2020-08-25,2021-05-27,"Não",1,275
"417","ADPF","733",2020-08-26,2020-09-25,"Não",1,30
"418","ADPF","734",2020-08-28,2023-05-15,"Sim",1,990
"419","ADPF","735",2020-09-01,2023-02-15,"Não",1,897
"420","ADPF","736",2020-09-03,2020-10-05,"Não",1,32
"421","ADPF","737",2020-09-03,2021-09-27,"Sim",1,389
"422","ADPF","738",2020-09-03,2021-08-05,"Não",1,336
"423","ADPF","739",2020-09-08,2021-02-10,"Não",1,155
"424","ADPF","740",2020-09-09,2020-11-19,"Não",1,71
"425","ADPF","741",2020-09-10,2020-10-20,"Não",1,40
"426","ADPF","742",2020-09-10,2025-06-06,"Não",0,1730
