consoante;61;pre
l;59;nom_sup
liminarmente;58;adv
cento;58;adj_num
efetivamente;55;adv
vinte;54;adj_num
preliminarmente;52;adv
constitucionalmente;51;adv
regularmente;50;adv
logo;49;adv
salvo;48;adv
posteriormente;48;adv
quem;47;pro_ind
inicialmente;47;adv
nome;46;nom_sup
atraves;46;adv
validamente;45;adv
anteriormente;45;adv
trinta;44;adj_num
imediatamente;44;adv
apesar;44;ono
tipo;43;nom_sup
prontamente;43;adv
isto;42;pro_ind
abaixo;42;adv
devidamente;41;adv
tudo;39;adv
f;39;nom_sup
alguma;38;pro_ind
verdade;37;nom_sup
sequer;37;adv
pronto;37;adv
h;37;nom_sup
sim;36;adv
dez;36;adj_num
recentemente;35;adv
oito;35;adj_num
quarenta;34;adj_num
justamente;34;adv
estritamente;34;adv
respectivamente;33;adv
sucessivamente;32;adv
relativamente;32;adv
quase;32;adv
plenamente;32;adv
atualmente;32;adv
x;30;nom_sup
ultimo;30;adj_sup
subsidiariamente;30;adv
outrossim;30;adv
nossa;30;pro_pos
precisamente;29;adv
pouco;29;pro_ind
agora;29;adv
xi;28;ono
supostamente;28;adv
pro;28;pre
eminentemente;28;adv
consequentemente;28;adv
cinquenta;28;adj_num
hoje;27;adv
corrente;27;nom_sup
excepcionalmente;26;adv
quatro;25;adj_num
principalmente;25;adv
integralmente;25;adv
depois;25;adv
totalmente;24;adv
documentalmente;24;adv
necessariamente;23;adv
exatamente;23;adv
bastante;23;adv
amplamente;23;adv
sete;22;adj_num
seis;22;adj_num
previamente;22;adv
precedentemente;22;adv
meu;22;pro_pos
duzentos;22;adj_num
vossa;21;pro_pos
substancialmente;21;adv
senao;21;adv
nunca;21;adv
muita;21;pro_ind
bilhao;21;adj_num
absolutamente;21;adv
vario;20;art_def
u;20;nom_sup
indevidamente;20;adv
claramente;20;adv
adequadamente;20;adv
caminho;19;nom_sup
ai;19;adv
2;19;num
simplesmente;18;adv
potencialmente;18;adv
originariamente;18;adv
noventa;18;adj_num
historicamente;18;adv
ei;18;ono
altamente;18;adv
tentar;17;ver_sup
oitenta;17;adj_num
legalmente;17;adv
extremamente;17;adv
concretamente;17;adv
ali;17;adv
setimo;16;adj_num
originalmente;16;adv
novamente;16;adv
jamais;16;adv
formalmente;16;adv
essencialmente;16;adv
eficazmente;16;adv
afinal;16;adv
10;16;num
sic;15;adv
perfeitamente;15;adv
oitavo;15;adj_num
finalmente;15;adv
definitivamente;15;adv
comprovadamente;15;adv
sessenta;14;adj_num
quinze;14;adj_num
minimamente;14;adv
indiretamente;14;adv
eu;14;pro_per
usar;13;ver_sup
sexto;13;adj_num
priori;13;adv
mim;13;pro_per
juntamente;13;adv
frontalmente;13;adv
excessivamente;13;adv
enfaticamente;13;adv
aparentemente;13;adv
acaso;13;adv
verdadeiramente;12;adv
setenta;12;adj_num
particularmente;12;adv
mensalmente;12;adv
maxime;12;adv
manifestamente;12;adv
evidentemente;12;adv
