"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"96";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"97";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"98";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"99";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"100";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"101";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"102";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"103";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"104";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"105";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"106";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"107";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"108";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"109";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"110";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"111";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"112";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"113";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"114";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"115";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"116";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"117";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"118";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"119";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
