"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"ministro";0,802791267517364;0,445281974411039;1,28052327783969;0,108523877333617;0,508312928764798;0,281944502509366;0,810804207827427;0,0687153587245136;0,420891292153307;0,0746923072440133;0,501416327366556;0,00300007323612988;0,00251819311503948;0,000774736437241961;0,00640705877522788;4,60187011008228e-05;0,00390736293703447;0,723505624755258;0,00204534972318937
"min";1,44925991286877;-1,04605831222314;-0,0631150944445273;-0,206700283172361;0,804982818186009;-0,581026881847199;-0,0350569046620916;-0,114810445656064;0,763747540128669;0,2295144530906;0,000678238741176242;0,00605976803954789;0,0036759833402695;0,00191510577070938;6,97184058406484e-06;7,47761530274722e-05;0,00175017298221336;0,969606704392554;0,00164540265911224
"relator";0,971522664135351;0,318531647972287;1,34643507431055;0,0484087704454968;0,574418213014329;0,188333619761298;0,796087274004686;0,0286219564813458;0,509602139998383;0,0315988684966788;0,458305488199587;0,000493503305353633;0,00275958904626594;0,00029664956542482;0,00530040887176798;6,85151548126575e-06;0,00292373858656573;0,795722351452774;0,0018512354329932
"saude";-2,01937683330907;-1,10478729831734;0,366037337743272;0,621960463097301;-0,837112141730318;-0,457978345693608;0,151737058035586;0,257827388502717;0,816304211323929;0,140933950982771;0,0125581865104035;0,0302036511829035;0,0153251866741121;0,00458699618683387;0,000503525894912892;0,00145377297259107;0,00375812338041163;1,30681946167838;0,00641803706841579
"sua";-0,253535777253859;0,358863972543116;-0,258063967438649;0,329771777221924;-0,417708625230461;0,591240330021098;-0,42516896916045;0,543309970668367;0,302973066426082;0,350127499529163;0,146973525444074;0,199925908600673;0,00023764915638614;0,000476121170175406;0,00024621386810714;0,000402054327631011;0,00369707083452047;0,269315583498224;0,000268151814045267
"subsidiariedade";1,73129398502318;-1,73463036340634;-0,794688557430673;-0,392184194260469;0,664328464989941;-0,665608693044265;-0,304936211914304;-0,150488089267454;0,589027227187929;0,341073990477895;0,0581094151238244;0,0117893672103499;0,0112645195834039;0,0113079771507372;0,00237336729506308;0,000578031102840736;0,00375812338041163;1,31894710071203;0,00653771206113448
"presente";0,828119855807854;0,276034512390794;0,839338102118364;-0,084883503151553;0,682170443608423;0,227385667000061;0,691411564937031;-0,0699234737506009;0,645499396274583;0,0413692072908027;0,31048611048129;0,00264528595332778;0,00246327914181364;0,000273686895751564;0,00253046952188411;2,58805691610336e-05;0,00359192478326346;0,602656049013159;0,00130456665548546
"rel";1,54974951208765;-1,40798257077197;-0,456559625347462;-0,257686312082008;0,717985610602873;-0,652306206847664;-0,211520144916926;-0,119383850539156;0,654648414258702;0,311688404300144;0,0266035115244303;0,00705966991672097;0,00342139786957373;0,00282406781659479;0,000296944694631833;9,45939289431766e-05;0,00142455940412715;1,1199063072984;0,00178666835440741
"caso";0,272592829756268;-0,589052683995408;-0,246449002465292;-0,124110852521916;0,386498853255009;-0,835195067583304;-0,349430529496479;-0,175971988034726;0,240552369433699;0,64793291959146;0,092064832489619;0,019449878485226;0,000255058993869456;0,00119102277021334;0,000208480728241318;5,2872677487489e-05;0,00343250980232542;0,324962951747113;0,000362476193062718
"direito";-0,315289477118661;0,428530908411222;-1,14104250617165;1,77561281282441;-0,144850489142301;0,196875938465269;-0,524218463177305;0,815753151089642;0,0486171754433185;0,0518055225265124;0,298148941807581;0,601428360222584;0,000295361804300882;0,000545631811667287;0,00386846815356769;0,009367677270456;0,00297122390003663;0,836062716509905;0,00207688807902105
"dever";-0,306699054011258;-0,175100594829768;-0,167186296554078;0,239924835782323;-0,668890548427252;-0,381882928472686;-0,364622362309188;0,523260352090508;0,638633421705203;0,120072346305079;0,0888560452646428;0,152438186725082;0,000293205193004589;9,55700972317753e-05;8,71260730910058e-05;0,000179430884286213;0,00311707164855441;0,224393802200861;0,000156952594768476
"processo";0,676963738224411;0,185612593098687;0,323393801227296;-0,12275717295896;0,865073883177931;0,237189376051009;0,413256302556386;-0,156868113169674;0,859813153793241;0,0372845695097392;0,091874610269458;0,0110276664275656;0,00140051213753973;0,000105286076220216;0,000319609328678716;4,60521405195616e-05;0,00305601910266325;0,426862109399163;0,000556841092627137
"principiar";0,980490674903664;-0,709732220394312;-0,907310598718153;0,310864050520786;0,634900368752792;-0,459575251430474;-0,587513832047481;0,201294826518392;0,573925760128815;0,173459787816363;0,230112179656617;0,0225022723982036;0,00287272541925411;0,00150520698688932;0,00245990961632981;0,000288767414951611;0,00298818294056195;0,756728082248536;0,00171114528131109
"arguicao";1,14788463383065;-0,186227805192499;0,605692343388441;-0,0800003719046888;0,87383671898369;-0,141767464670979;0,461088331057998;-0,060900948093867;0,87150271137963;0,0132312931680945;0,113614897412564;0,00165109803970598;0,00392840841962706;0,000103397300053491;0,00109376574085167;1,90811330836861e-05;0,00298139932435183;0,718932494398282;0,0015409777761611
"supremo_tribunal_federal";0,950437844843156;-0,232000729048057;0,655390536448319;0,119500284836246;0,802987452963875;-0,196008266626635;0,553713617796974;0,100961077959759;0,791652902248268;0,0272086535148434;0,176257072983871;0,00488137125300973;0,00249403831008189;0,000148605327034636;0,00118592168581863;3,94269842546108e-05;0,00276093179752262;0,624569193558486;0,00107700271181648
"pedido";0,402221343744495;1,03688223445312;1,65293600578481;0,0999165611740746;0,201638457231647;0,519801689635952;0,828636946528654;0,0500893887417124;0,078340015380213;0,300298580114233;0,619475824448742;0,00188558005682691;0,000444474159796688;0,00295375969100916;0,00750634242937601;2,7427817403539e-05;0,00274736456510236;0,840228732764445;0,00193959631352512
"nacional";-1,15937902070248;-0,298950500591366;0,108737643646767;-0,374627355908224;-0,920692988493249;-0,237404356026941;0,0863513866502392;-0,297501312101955;0,923193812014688;0,0354063831164958;0,00380242538093934;0,0375973794878791;0,00324154271779351;0,000215525888594441;2,85141683581621e-05;0,00033845415384595;0,00241157556270096;0,705510103215323;0,00120034848650859
"processual";1,60969164635256;-1,47969813242546;-0,575963921602608;-0,261183906614263;0,707219321054772;-0,650106566031557;-0,253050212760205;-0,114751359693467;0,641999439634973;0,312922293202806;0,0384856373925921;0,0065926297696256;0,0071714473259364;0,00605993106317029;0,000918146520052673;0,000188805333918824;0,00276771541373275;1,17462599613634;0,00381874491002286
