modo;35;61;154;45;100
pessoa;70;80;19;161;19
orgao;88;76;82;49;95
ambito;60;79;103;45;102
autoridade;29;135;36;116;64
ano;76;15;6;208;45
medida_cautelar;44;33;20;60;221
inconstitucionalidade;49;24;104;14;181
determinar;80;61;16;102;125
cabimento;8;2;270;4;97
c;34;22;52;46;126
referido;70;33;88;75;102
acao_direta_de_inconstitucionalidade;5;6;178;4;137
protecao;22;162;71;88;16
parecer;48;43;77;73;132
poder_publico;18;31;201;29;71
hipotese;33;19;99;31;136
fundamento;27;30;119;29;160
negar;4;4;183;9;140
ajuizamento;4;6;270;8;73
violacao;44;75;89;25;127
questionar;32;17;163;40;126
voto;6;13;24;29;211
apresentar;53;31;50;116;116
autor;37;26;114;20;168
interpretacao;25;31;79;17;204
possibilidade;32;33;156;41;65
exercicio;77;104;75;23;70
distrito_federal;47;41;10;67;87
requerer;61;61;13;57;151
existencia;16;34;221;17;59
razao;38;23;111;69;108
brasil;30;34;5;201;36
tender;44;43;102;47;108
recursal;1;0;274;0;48
seguranca;38;76;63;75;42
resolucao;64;22;51;30;123
exame;20;16;128;69;96
reconhecer;21;39;57;54;141
possivel;20;44;130;58;50
servico;120;33;15;79;11
inicial;33;22;73;57;131
materia;31;37;73;27;161
descumprimento;14;10;211;3;85
acordao;15;9;49;7;192
presidente_da_republica;34;53;16;48;78
pedir;31;26;32;62;171
imediato;18;10;213;43;44
relevante;9;16;254;27;24
observar;59;47;67;81;85
direto;23;20;140;15;107
carater;25;39;173;37;59
registro;87;11;12;64;112
celso_de_mello;1;7;154;1;19
ricardo_lewandowski;2;7;73;19;70
legal;54;57;90;25;89
dispositivo;51;44;78;26;118
presidente;32;26;13;18;133
atividade;102;85;16;88;20
iv;74;72;74;33;63
vista;42;36;111;30;88
vacina;3;6;0;281;0
eleicao;10;9;3;5;237
abstrato;2;4;246;3;60
vez;42;39;71;73;80
partido;34;15;23;25;164
agravo;2;4;152;26;97
natureza;30;27;152;17;73
apto;2;3;274;5;26
pandemia;13;23;14;226;14
afirmar;54;48;75;55;73
expor;15;30;55;38;151
ato_normativo;24;12;199;4;48
ponto;32;25;32;47;46
alegado;26;15;155;21;59
alar;61;56;46;82;48
acesso;29;47;65;129;17
entendimento;8;15;92;32;129
dispor;84;37;74;34;61
aplicacao;39;13;109;47;88
alexandre_de_moraes;3;10;69;3;101
