"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"   4";" 117";" 3.42";" -30.53";"ocupar";"3.281679e-08"
"  15";" 186";" 8.06";" -30.47";"governamental";"3.387396e-08"
"  27";" 254";"10.63";" -30.45";"assumir";"3.430994e-08"
"  19";" 209";" 9.09";" -30.39";"bloco";"3.531533e-08"
"   1";"  95";" 1.05";" -30.32";"ecossistema";"3.669053e-08"
"   1";"  94";" 1.06";" -29.97";"melhoria";"4.388286e-08"
"  31";" 274";"11.31";" -29.95";"competente";"4.436234e-08"
"   1";"  93";" 1.08";" -29.62";"garantido";"5.248739e-08"
"   2";" 100";" 2.00";" -29.51";"ldo";"5.558901e-08"
"  12";" 165";" 7.27";" -29.50";"compromisso";"5.604889e-08"
"   0";"  85";" 0.00";" -29.48";"igreja";"5.640019e-08"
"  18";" 200";" 9.00";" -29.39";"separacao_de_poderes";"5.904827e-08"
"   6";" 127";" 4.72";" -29.38";"empregador";"5.942018e-08"
"  77";" 505";"15.25";" -29.33";"pandemia";"6.091476e-08"
"  10";" 152";" 6.58";" -29.24";"avulso";"6.378715e-08"
"  10";" 152";" 6.58";" -29.24";"apuracao";"6.378715e-08"
" 166";" 921";"18.02";" -29.20";"observar";"6.537914e-08"
"   0";"  84";" 0.00";" -29.14";"contrapeso";"6.748251e-08"
"   0";"  84";" 0.00";" -29.14";"congressista";"6.748251e-08"
"   8";" 139";" 5.76";" -29.09";"afim";"6.924905e-08"
"   8";" 139";" 5.76";" -29.09";"cultura";"6.924905e-08"
"  45";" 344";"13.08";" -28.99";"modelo";"7.283458e-08"
"  16";" 187";" 8.56";" -28.95";"dignidade_da_pessoa_humana";"7.414828e-08"
"  14";" 175";" 8.00";" -28.87";"equilibrio";"7.734526e-08"
"   2";"  98";" 2.04";" -28.82";"editor";"7.942007e-08"
"   0";"  83";" 0.00";" -28.79";"suplente";"8.074679e-08"
"  58";" 409";"14.18";" -28.77";"expressar";"8.130501e-08"
"   8";" 138";" 5.80";" -28.76";"vontade";"8.213591e-08"
"  45";" 343";"13.12";" -28.73";"autorizacao";"8.326946e-08"
"  47";" 353";"13.31";" -28.67";"possuir";"8.602896e-08"
"  10";" 150";" 6.67";" -28.59";"acusatorio";"8.923743e-08"
"   0";"  82";" 0.00";" -28.44";"coprocessamento";"9.662363e-08"
"  17";" 191";" 8.90";" -28.40";"ambiente";"9.865981e-08"
"   6";" 124";" 4.84";" -28.37";"componente";"9.998544e-08"
"   7";" 130";" 5.38";" -28.22";"independente";"1.085067e-07"
"   3";" 103";" 2.91";" -28.10";"eleito";"1.149649e-07"
"   9";" 142";" 6.34";" -28.01";"opiniao";"1.209502e-07"
"   1";"  88";" 1.14";" -27.89";"consecutivo";"1.285756e-07"
"   1";"  88";" 1.14";" -27.89";"nascido";"1.285756e-07"
"  37";" 298";"12.42";" -27.79";"integrante";"1.350118e-07"
"  20";" 206";" 9.71";" -27.77";"comprometer";"1.368465e-07"
"   0";"  80";" 0.00";" -27.75";"reservatorio";"1.383803e-07"
"   0";"  80";" 0.00";" -27.75";"freio";"1.383803e-07"
"   0";"  80";" 0.00";" -27.75";"forno";"1.383803e-07"
"   2";"  94";" 2.13";" -27.44";"aumentar";"1.621733e-07"
"   3";" 101";" 2.97";" -27.42";"petroleo";"1.639293e-07"
" 368";"1799";"20.46";" -27.30";"principiar";"1.744284e-07"
"  10";" 146";" 6.85";" -27.30";"recursos_publicos";"1.744139e-07"
"  33";" 275";"12.00";" -27.26";"partidario";"1.776712e-07"
"   8";" 133";" 6.02";" -27.11";"desigualdade";"1.925646e-07"
"  66";" 441";"14.97";" -26.97";"administracao_publica";"2.068852e-07"
"  34";" 279";"12.19";" -26.91";"regimental";"2.126570e-07"
"   7";" 126";" 5.56";" -26.89";"representativo";"2.157177e-07"
"  20";" 203";" 9.85";" -26.87";"saude_publica";"2.173934e-07"
" 200";"1060";"18.87";" -26.73";"eleicao";"2.340751e-07"
"   6";" 119";" 5.04";" -26.70";"fator";"2.377773e-07"
"   0";"  77";" 0.00";" -26.70";"preconceito";"2.372782e-07"
"  48";" 350";"13.71";" -26.62";"juri";"2.482156e-07"
"  17";" 184";" 9.24";" -26.26";"incompativel";"2.978927e-07"
"  16";" 178";" 8.99";" -26.18";"equilibrado";"3.108658e-07"
"  86";" 534";"16.10";" -26.16";"ente";"3.136520e-07"
"   1";"  83";" 1.20";" -26.15";"corpo";"3.153683e-07"
"   1";"  83";" 1.20";" -26.15";"constitucionalismo";"3.153683e-07"
"   1";"  83";" 1.20";" -26.15";"loa";"3.153683e-07"
"   8";" 130";" 6.15";" -26.12";"medicar";"3.207233e-07"
"   4";" 104";" 3.85";" -26.10";"assistencia";"3.239784e-07"
"   3";"  97";" 3.09";" -26.05";"responsabilizacao";"3.333527e-07"
"   0";"  75";" 0.00";" -26.01";"sadio";"3.400325e-07"
"  26";" 233";"11.16";" -25.99";"profissional";"3.430566e-07"
" 155";" 853";"18.17";" -25.97";"alar";"3.471992e-07"
"  29";" 249";"11.65";" -25.96";"impacto";"3.493609e-07"
" 247";"1263";"19.56";" -25.90";"artigo";"3.592251e-07"
" 132";" 747";"17.67";" -25.79";"ano";"3.813371e-07"
"  14";" 165";" 8.48";" -25.74";"aumento";"3.896739e-07"
"  36";" 285";"12.63";" -25.72";"programa";"3.953068e-07"
"  43";" 321";"13.40";" -25.70";"vedar";"3.978636e-07"
"  13";" 159";" 8.18";" -25.70";"forcar";"3.984441e-07"
"   0";"  74";" 0.00";" -25.66";"transparente";"4.070955e-07"
"  43";" 320";"13.44";" -25.45";"deputado";"4.539961e-07"
"   4";" 102";" 3.92";" -25.42";"quantidade";"4.607181e-07"
"   2";"  88";" 2.27";" -25.37";"republica_federativa_do_brasil";"4.737066e-07"
"   2";"  88";" 2.27";" -25.37";"circulacao";"4.737066e-07"
"   7";" 121";" 5.79";" -25.23";"collor";"5.083728e-07"
"   5";" 108";" 4.63";" -25.20";"desempenhar";"5.168087e-07"
"  56";" 384";"14.58";" -25.15";"autonomia";"5.314070e-07"
" 138";" 771";"17.90";" -25.14";"iv";"5.325691e-07"
"  13";" 157";" 8.28";" -25.08";"padrao";"5.509627e-07"
"  30";" 251";"11.95";" -25.04";"discricionario";"5.613305e-07"
"   3";"  94";" 3.19";" -25.02";"aguar";"5.677395e-07"
"   3";"  94";" 3.19";" -25.02";"discurso";"5.677395e-07"
"   3";"  94";" 3.19";" -25.02";"ideal";"5.677395e-07"
"  41";" 308";"13.31";" -24.99";"retrocesso";"5.755456e-07"
"   0";"  72";" 0.00";" -24.97";"equipamento";"5.836350e-07"
"  14";" 162";" 8.64";" -24.82";"aprovacao";"6.308047e-07"
"   1";"  79";" 1.27";" -24.77";"jurado";"6.471403e-07"
"   3";"  93";" 3.23";" -24.68";"ocupacao";"6.780200e-07"
"   2";"  86";" 2.33";" -24.68";"parente";"6.773603e-07"
"   2";"  86";" 2.33";" -24.68";"veredicto";"6.773603e-07"
"  21";" 201";"10.45";" -24.65";"favor";"6.892303e-07"
"   0";"  71";" 0.00";" -24.62";"alocar";"6.988957e-07"
"   7";" 119";" 5.88";" -24.57";"emissao";"7.158954e-07"
"   4";"  99";" 4.04";" -24.40";"exclusivo";"7.812156e-07"
"  47";" 336";"13.99";" -24.39";"consequencia";"7.871743e-07"
"  38";" 290";"13.10";" -24.32";"mesa_diretora";"8.169943e-07"
"  50";" 350";"14.29";" -24.14";"coletivo";"8.955592e-07"
"  69";" 443";"15.58";" -24.10";"chefe";"9.125120e-07"
"  10";" 136";" 7.35";" -24.08";"cpp";"9.232421e-07"
"  39";" 294";"13.27";" -24.03";"formacao";"9.502537e-07"
"   0";"  69";" 0.00";" -23.92";"america";"1.002436e-06"
"   0";"  69";" 0.00";" -23.92";"autoritario";"1.002436e-06"
"  90";" 542";"16.61";" -23.87";"realizacao";"1.032441e-06"
"  28";" 236";"11.86";" -23.84";"vice";"1.048917e-06"
"  13";" 153";" 8.50";" -23.83";"filho";"1.051207e-06"
"   8";" 123";" 6.50";" -23.83";"fonte";"1.050874e-06"
"  19";" 187";"10.16";" -23.79";"alto";"1.073800e-06"
"  21";" 198";"10.61";" -23.77";"excecao";"1.083180e-06"
"  26";" 225";"11.56";" -23.74";"verba";"1.100726e-06"
"   1";"  76";" 1.32";" -23.73";"moderno";"1.110269e-06"
"  79";" 489";"16.16";" -23.68";"utilizar";"1.138124e-06"
"  24";" 214";"11.21";" -23.68";"arma";"1.140206e-06"
"  18";" 181";" 9.94";" -23.67";"condenacao";"1.145198e-06"
"  18";" 181";" 9.94";" -23.67";"estrito";"1.145198e-06"
"   3";"  90";" 3.33";" -23.65";"centro";"1.154938e-06"
"   0";"  68";" 0.00";" -23.58";"matar";"1.200692e-06"
"   8";" 122";" 6.56";" -23.51";"externo";"1.244488e-06"
"  11";" 140";" 7.86";" -23.45";"coronavirus";"1.282283e-06"
"  11";" 140";" 7.86";" -23.45";"oriundo";"1.282283e-06"
"   1";"  75";" 1.33";" -23.38";"delegar";"1.329327e-06"
"  60";" 396";"15.15";" -23.36";"grave";"1.344189e-06"
"   2";"  82";" 2.44";" -23.30";"indigena";"1.385672e-06"
"   0";"  67";" 0.00";" -23.23";"meta";"1.438280e-06"
"  44";" 316";"13.92";" -23.18";"criar";"1.478078e-06"
"  34";" 265";"12.83";" -23.18";"forca";"1.475680e-06"
"   8";" 121";" 6.61";" -23.18";"milhao";"1.473599e-06"
"  30";" 244";"12.30";" -23.14";"reducao";"1.506354e-06"
"  27";" 228";"11.84";" -23.10";"esfera";"1.539872e-06"
"  15";" 162";" 9.26";" -23.05";"caracteristica";"1.575730e-06"
"  40";" 295";"13.56";" -22.98";"iniciativa";"1.634343e-06"
"   3";"  88";" 3.41";" -22.97";"criminoso";"1.647402e-06"
" 142";" 777";"18.28";" -22.96";"especial";"1.656284e-06"
"   7";" 114";" 6.14";" -22.93";"pesquisa";"1.681993e-06"
"   0";"  66";" 0.00";" -22.88";"licitar";"1.723032e-06"
"   0";"  66";" 0.00";" -22.88";"persecucao";"1.723032e-06"
"  11";" 138";" 7.97";" -22.82";"absolvicao";"1.779505e-06"
"  15";" 161";" 9.32";" -22.75";"disciplinar";"1.844584e-06"
"   1";"  73";" 1.37";" -22.69";"gomes";"1.906053e-06"
"   1";"  73";" 1.37";" -22.69";"obviar";"1.906053e-06"
"  44";" 314";"14.01";" -22.68";"eleger";"1.910362e-06"
"  14";" 155";" 9.03";" -22.67";"coletividade";"1.927611e-06"
"   3";"  87";" 3.45";" -22.63";"pluralismo";"1.967567e-06"
"   3";"  87";" 3.45";" -22.63";"degradacao";"1.967567e-06"
"   2";"  80";" 2.50";" -22.61";"cidade";"1.982432e-06"
"  63";" 407";"15.48";" -22.55";"atual";"2.049821e-06"
"  12";" 143";" 8.39";" -22.54";"sujeitar";"2.056750e-06"
"   0";"  65";" 0.00";" -22.53";"dose";"2.064346e-06"
"  32";" 252";"12.70";" -22.49";"judiciario";"2.114701e-06"
"  10";" 131";" 7.63";" -22.49";"fornecer";"2.112678e-06"
"  43";" 308";"13.96";" -22.44";"definicao";"2.164450e-06"
"   6";" 106";" 5.66";" -22.37";"agenciar";"2.245455e-06"
"  17";" 171";" 9.94";" -22.36";"emprego";"2.256972e-06"
"  17";" 171";" 9.94";" -22.36";"origem";"2.256972e-06"
"   1";"  72";" 1.39";" -22.34";"rotativo";"2.282636e-06"
"   3";"  86";" 3.49";" -22.29";"vacinar";"2.349988e-06"
"   7";" 112";" 6.25";" -22.27";"passageiro";"2.365453e-06"
"   7";" 112";" 6.25";" -22.27";"quesito";"2.365453e-06"
"   8";" 118";" 6.78";" -22.21";"escrutinio";"2.444696e-06"
"  43";" 307";"14.01";" -22.20";"direito_fundamental";"2.460625e-06"
"   4";"  92";" 4.35";" -22.04";"missao";"2.676984e-06"
"   1";"  71";" 1.41";" -21.99";"canotilho";"2.733837e-06"
"   3";"  85";" 3.53";" -21.94";"metodo";"2.806777e-06"
"   2";"  78";" 2.56";" -21.92";"chefia";"2.836739e-06"
"   5";"  98";" 5.10";" -21.85";"concretizacao";"2.951870e-06"
"   5";"  98";" 5.10";" -21.85";"discriminatorio";"2.951870e-06"
"  17";" 169";"10.06";" -21.77";"setor";"3.071134e-06"
"  50";" 340";"14.71";" -21.75";"grupo";"3.102857e-06"
"   4";"  91";" 4.40";" -21.70";"vivo";"3.191713e-06"
"   2";"  77";" 2.60";" -21.58";"templo";"3.393616e-06"
"   8";" 116";" 6.90";" -21.56";"proporcional";"3.423793e-06"
"  37";" 274";"13.50";" -21.53";"maximo";"3.481403e-06"
"  38";" 279";"13.62";" -21.51";"preservar";"3.518727e-06"
"   5";"  97";" 5.15";" -21.51";"propriedade";"3.512828e-06"
"   0";"  62";" 0.00";" -21.49";"cmo";"3.552205e-06"
"   1";"  69";" 1.45";" -21.30";"concentracao";"3.922408e-06"
"   3";"  83";" 3.61";" -21.26";"pilar";"4.004160e-06"
"   2";"  76";" 2.63";" -21.24";"impositivo";"4.060022e-06"
"   5";"  96";" 5.21";" -21.18";"mundial";"4.180154e-06"
"   5";"  96";" 5.21";" -21.18";"eletivo";"4.180154e-06"
"   5";"  96";" 5.21";" -21.18";"substancia";"4.180154e-06"
"  14";" 150";" 9.33";" -21.15";"abuso";"4.253319e-06"
"   0";"  61";" 0.00";" -21.15";"pecuniario";"4.257524e-06"
"   0";"  61";" 0.00";" -21.15";"adulterio";"4.257524e-06"
"   6";" 102";" 5.88";" -21.05";"evento";"4.469461e-06"
"  41";" 292";"14.04";" -20.98";"proporcionalidade";"4.642190e-06"
"  61";" 390";"15.64";" -20.92";"ultimar";"4.793343e-06"
"   2";"  75";" 2.67";" -20.89";"colateral";"4.857549e-06"
"  51";" 341";"14.96";" -20.84";"indicacao";"5.003445e-06"
"  25";" 209";"11.96";" -20.80";"sistematico";"5.101874e-06"
"   0";"  60";" 0.00";" -20.80";"marido";"5.103430e-06"
"   4";"  88";" 4.55";" -20.69";"inferior";"5.408796e-06"
"  17";" 165";"10.30";" -20.60";"emergencia";"5.668751e-06"
"   2";"  74";" 2.70";" -20.55";"vigilancia";"5.812053e-06"
"   5";"  94";" 5.32";" -20.51";"clemenciar";"5.918163e-06"
"  18";" 170";"10.59";" -20.45";"elaboracao";"6.135695e-06"
"   0";"  59";" 0.00";" -20.45";"irrigacao";"6.118077e-06"
"  28";" 223";"12.56";" -20.32";"central";"6.543509e-06"
"  10";" 124";" 8.06";" -20.28";"epidemiologico";"6.684645e-06"
"  45";" 309";"14.56";" -20.27";"identificar";"6.730798e-06"
"  84";" 496";"16.94";" -20.26";"educacao";"6.758626e-06"
