"";"";"";"";"centralizado";""
"88";"individuo";"-2.3002866901775";"-0.249299649402941";"0.84600794151572";"291"
"89";"empregador";"-2.58513986914294";"-0.215433363996929";"0.845262017771955";"293"
"90";"comunidade";"-2.42682051097112";"-0.109893349875241";"0.845022285275642";"294"
"91";"avulso";"0.806697463215855";"-0.348087166784488";"0.844870970464474";"295"
"92";"processo";"0.550724771596728";"-0.408997505176219";"0.844106559386542";"299"
"93";"empreendimento";"-2.62968549775672";"-0.163331563960145";"0.84391505471849";"300"
"94";"acusatorio";"0.702888797525297";"-0.438035023579439";"0.842091038063813";"303"
"95";"vereador";"0.843684554073684";"-0.440360845976817";"0.840389801421917";"304"
"96";"acusar";"0.115600374632916";"-0.378054129654873";"0.839573947327174";"307"
"97";"chefe";"0.518433087509923";"-0.0765913163797273";"0.839111763973009";"308"
"98";"soberania";"0.187143983450879";"-0.324852670224129";"0.838405427238274";"309"
"99";"collor";"0.788660420422797";"-0.430768842231671";"0.838354386120031";"310"
"100";"privativo";"0.820041808157096";"-0.467901234352264";"0.835286694344082";"315"
"101";"tribunal";"0.561310191944248";"-0.657673309677359";"0.835056607413421";"317"
"102";"interpretar";"0.174432710245714";"-0.333083144943427";"0.834195941628252";"319"
