"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"julgar";1,2630551257714;-1,00776456864945;-1,09132592604943;0,647772541456444;-0,516843803967079;-0,55969921997078;0,5088633649823;0,265830243185227;0,225306391832501;0,00339317938944769;0,00216013244227766;0,00253320976995555;0,0021269741367408;0,880886958211142;0,00165045075020054
"municipio";0,650062770363467;0,356432937434036;0,176147002619923;0,85309354140529;0,467755808718408;0,23116209252983;0,775044120976498;0,1912058348362;0,0337500441873084;0,000704338593451803;0,000211751529754287;5,1715581457335e-05;0,00166675166270917;0,367358885188933;0,000224932387978146
"ii";0,117356100802756;0,259742273059716;0,531597469146462;0,194560112588474;0,430616606591428;0,881314756892929;0,0581767273761543;0,233858339582849;0,707964933040999;2,78375369799871e-05;0,00013636557171836;0,000571196152359449;0,00202124735216597;0,242063604058819;0,000118434560924326
"decreto";0,319126948159556;-0,47635176097342;-0,475347632520609;0,428480552415878;-0,639580790225581;-0,638232582195398;0,241301837823094;0,441183097663575;0,317515064513357;0,00017430566041463;0,000388364999024938;0,000386729412219151;0,00171153006558792;0,323207649957282;0,000178791881859013
"atar";0,573092212198142;-0,21161215205505;-0,0575211734579835;0,933960932593624;-0,344861574934728;-0,0937415090682192;0,894568729303271;0,100086511208755;0,00534475948799303;0,000666707386532503;9,09007488298621e-05;6,71648002727122e-06;0,00202995426383684;0,301450575749236;0,000184466916570496
"juridico";0,0266887041393592;-0,250804177865243;0,369587448949192;0,0596464646697311;-0,560521127438275;0,82598932495991;0,00534185455989617;0,387111668515608;0,607546476924479;1,49198054605622e-06;0,000131758220019638;0,000286116309409534;0,00209463417910615;0,18166862317425;6,91302353477109e-05
"informacao";-0,271769052931925;0,113365679980831;-0,729429252628789;-0,345487897767639;0,144116741891827;-0,92729093449822;0,184664965359038;0,0263680094496161;0,788967025191329;0,000143774028745025;2,50174842586661e-05;0,00103573056478537;0,00194661668070138;0,314634407273913;0,000192704948917232
"nacional";-0,658702228918461;-0,0160731594732004;-0,54112681830925;-0,772560181331031;-0,0188514361300505;-0,634661633925984;0,713910718646873;0,000348817116623011;0,285740464236501;0,00073775621924053;4,39275640426222e-07;0,000497889227169053;0,00170033546486823;0,387851655052678;0,000255779604369312
"geral";0,549193080120932;2,58932141292286;-0,574129739323106;0,202768562959385;0,956008006915743;-0,211975471666827;0,0502783615932151;0,917133535112895;0,0325881032938927;0,000568742146685488;0,0126426241079482;0,000621563333060553;0,0018856682990053;1,21852085125109;0,00279982721312837
"sentido";0,322423575024531;-0,529523370741553;-0,143320196404069;0,506706934232813;-0,832176008757;-0,225235816977791;0,300253859519199;0,664561120428226;0,0351850200525979;0,000218915561877655;0,000590463861059349;4,32551523579315e-05;0,00210582877982584;0,292739250832524;0,000180461669537542
"proprio";-0,106566338154544;0,123241825950563;0,845750223682397;-0,123727260073218;0,143088086870078;0,981945703443238;0,02534674569892;0,027818135263434;0,946835119037647;2,36744663605641e-05;3,16633135324586e-05;0,00149116037867527;0,00208468342291087;0,333010100458632;0,000231182483764118
"medida";-0,772499578898174;0,0557269465699479;-0,301475094412299;-0,929476323037524;0,0670510105207077;-0,36273671843473;0,913578504128343;0,00390130144635687;0,0825201944253057;0,00117427301423009;6,11087039523601e-06;0,000178844445917679;0,00196776203761635;0,402090472291053;0,000318141366897139
"orgao";0,0580572372520027;0,677618095041724;0,504636140611836;0,0685548006084267;0,8001409573213;0,59588143764552;0,00634543950352773;0,709330461948873;0,284324098547615;6,46072815988595e-06;0,000880113589976366;0,000488118690913703;0,00191676441211554;0,36259680970608;0,000252009373508239
"recurso";0,580935363208659;3,00983434919032;-0,697411234585304;0,18479237643992;0,957411921018839;-0,221842717033268;0,0418726663188087;0,922337402799244;0,03578993088195;0,000637226015843644;0,0171049992162797;0,000918365897926339;0,00188815598805412;1,41241061600196;0,00376668945774608
"pedido";1,49884211826109;-1,08783264350332;-1,77382436610377;0,584471157553007;-0,424198650829197;-0,69170005827912;0,441909686085961;0,191018557742435;0,36707175617163;0,00424738338288342;0,00223734965043311;0,00594882124624617;0,00189064367710294;1,12172808960774;0,00237894760636156
"cf";0,143498757733938;0,117981082470727;1,27652074133711;0,111242133605044;0,091460494476269;0,989575750340091;0,0206242859914053;0,0114402900768317;0,967935423931754;3,42703464535422e-05;2,31657819969057e-05;0,00271192680435124;0,00166426397366035;0,497115320197034;0,000411278973712358
"novo";0,37247452788002;-0,15729742055671;-0,271706377086809;0,764617001285299;-0,322900689882143;-0,557759792221627;0,684027625162161;0,100104437728852;0,215867937109013;0,000255572613372941;4,5578954497592e-05;0,000135994335871376;0,00184213374065095;0,224056849427502;9,24778249877605e-05
"eleicao";0,807774329570053;-0,487519929347948;2,01283294502547;0,363373381902918;-0,219308486278001;0,905463181565594;0,200746338147755;0,0600042385324041;0,739249423319823;0,000860304231388776;0,000313369490735366;0,0053417975947215;0,00131847519587442;0,896942698322604;0,00106072147499896
"presente";0,83696704750433;-0,96482547521282;-1,30343324590142;0,458631685600661;-0,528694092947579;-0,714240528845454;0,283380367328849;0,309015460118879;0,407604172552297;0,00136798857480884;0,00181787189429168;0,00331774756627907;0,00195283590332343;0,78220744889748;0,00119483970474092
"exercicio";0,0548622373327742;0,867075777653529;0,623566423616813;0,0513007875326759;0,810788484150289;0,583086840160026;0,00353869245331637;0,725336517663192;0,271124789883507;5,49590457350613e-06;0,00137279681346439;0,000709998773922803;0,00182596376183363;0,458828696229081;0,000384408779558974
"adv";0,704876696271954;-0,974350628566049;-1,27445503958025;0,402265163724804;-0,556050891167874;-0,727317086616883;0,221889593879591;0,347913125301674;0,430197280818759;4,01703634160103e-05;7,6755586516425e-05;0,000131319280105388;8,08498940866387e-05;0,74446305872511;4,48090524235844e-05
"estabelecer";-0,0373043083665753;0,281402937879575;0,88898119355468;-0,0399745081133496;0,301545438474515;0,952613451110317;0,00260079900329088;0,121443899453429;0,875955301543284;2,6587365093e-06;0,000151291513939125;0,00150988010083927;0,00191054518949349;0,363918442121008;0,000253026171165744
"sistema";-0,263315554270949;0,420453238376488;0,260319235856056;-0,469994993100447;0,750471871731809;0,464646829538163;0,272338964622423;0,56979915604183;0,157861879335773;0,000122981178988693;0,000313560268611931;0,000120198250281204;0,00177372229180841;0,25102680020583;0,000111770142513697
"legislativo";0,423421625038422;-0,0527250400600859;1,773190885836;0,232163623210411;-0,0289093320001142;0,972247037836126;0,0876142278074339;0,00111478739440581;0,911270984798145;0,000314881296236315;4,88241433613502e-06;0,00552219547970476;0,00175630846846668;0,711679052499764;0,00088954753682582
"pessoa";-1,84516007208734;-0,19552699399791;-0,505034463369356;-0,959524562605416;-0,101678415998434;-0,262629231954356;0,949086138693154;0,00874541907166811;0,0421684422351854;0,00583980655574645;6,5575832376506e-05;0,000437494296194304;0,00171526159916115;0,942279407475654;0,00152296444761105
"termo";0,575534151599702;-0,148428978764598;-0,213511897990417;0,911301148060924;-0,235022541021627;-0,338074877437794;0,880125638020523;0,0480362964438156;0,0718380655356836;0,000571870591416643;3,80358357715962e-05;7,87045295218494e-05;0,00172645619988084;0,305208925894356;0,000160823691211211
"questao";0,59576765583624;-0,579122692080102;-0,392513539359814;0,648344184964372;-0,630230302220792;-0,427152881279728;0,491928252358558;0,381433410529915;0,126638337111554;0,000615435743661566;0,00058152720588992;0,000267139529181949;0,0017339192670273;0,422595147752612;0,000309654848707768
"federal";0,268642493467029;0,636592618049622;0,297176869086658;0,357165035614842;0,846361356178166;0,39510200214945;0,157886679303051;0,727526658241328;0,11458666245563;0,000117235379939542;0,000658313061648647;0,000143462792910229;0,00162446094887923;0,336356970120894;0,000183785032348259
"politica";-0,879866741230601;-0,134837070209818;0,483447716679311;-0,868617920456723;-0,13311322048873;0,477266989003595;0,834500942284395;0,0160820455084207;0,149417012207201;0,00133174808921071;3,12756895567153e-05;0,00040205670171794;0,00172023697725879;0,479183608132678;0,000394995534111964
"supremo_tribunal_federal";0,832206019442075;-0,784848566379245;0,0663756358798253;0,726281745976962;-0,684952011642004;0,0579272579035774;0,576823355969832;0,42100040540613;0,0021762386240541;0,00124306584943024;0,00110561562680301;7,90769334068654e-06;0,00179486764872338;0,545139813874298;0,000533394131113794
"artigo";0,236059138246262;-0,0391262395689564;0,91662372053515;0,249180906289605;-0,0413011413492742;0,967575884188904;0,100352947656167;0,00226232170559466;0,897384730638223;8,75409154629831e-05;2,4049478799363e-06;0,00131993222775694;0,00157097563432961;0,370727000921885;0,000215912549191479
"dia";0,472360565163282;-0,221001709272003;-0,359130102739721;0,745990963962143;-0,349024220682167;-0,567168030714036;0,65683756845571;0,117986312170698;0,225176119373617;0,00026088026044872;5,71064571341052e-05;0,000150798691042966;0,00116921385294524;0,289963349905813;9,83060325604727e-05
"tribunal";0,561310191944248;-0,657673309677359;0,712605217013316;0,500968271526929;-0,586972169589942;0,635998791704982;0,324421827704218;0,36547215099273;0,310106021303044;0,000523182513859478;0,000718237041092559;0,0008432286605971;0,00166053244008712;0,490282466066851;0,000399153634539835
"brasileiro";-0,883578901893092;0,00615634395385373;-0,149446008884041;-0,985972802648008;0,00686977437922201;-0,166764620463725;0,983278280383938;3,91706850808275e-05;0,0166825489309917;0,00110023810761667;5,34123590941148e-08;3,1474921164339e-05;0,00140927584615633;0,443308012973129;0,000276953699898734
"adir";1,24022607421656;-1,0767474535693;-1,25865327026397;0,599363110056302;-0,520358921597556;-0,608268407051909;0,448561226096393;0,277445295879254;0,27399347802438;0,00224039558915332;0,00168869298961427;0,00230746547038816;0,00145654193808391;0,92127324694269;0,00123623180680651
"resolucao";-0,00293687383312072;0,21089893132221;-0,589106677233743;-0,00469354230649004;0,337046503459259;-0,941476300905395;3,55927038834602e-05;0,150615200394859;0,849349206901241;1,22304244610769e-08;6,30695464886259e-05;0,000492106204376062;0,0014179827578272;0,244908166139158;8,50506197697592e-05
"saude";-2,10247640134787;0,0209485924125052;-0,983057889793754;-0,905831915603329;0,00902550134786187;-0,423541120789734;0,885158759167247;7,21104572619625e-05;0,114769130375495;0,00674641295310046;6,69761771468555e-07;0,00147492130023971;0,00152619723145086;1,1117803950199;0,00188646470598996
"tratar";0,278416109857231;-0,0573357852734125;0,130949001854461;0,889592046607164;-0,183198661138391;0,41840678910646;0,857634416451502;0,02984658538798;0,112518998160522;0,000124860361840969;5,29526131734321e-06;2,76210543165138e-05;0,00161077865911073;0,149569047494972;3,60345682544461e-05
