r;81;45;85;99
d;97;133;32;159
especialmente;87;133;38;159
parcialmente;234;54;33;22
cuja;104;168;32;98
algum;95;128;23;137
minha;201;90;7;72
nenhum;73;162;7;110
durante;74;160;31;119
perante;106;192;6;65
tres;73;140;21;94
dentro;40;164;16;135
alguma;73;121;26;125
cujo;78;125;40;98
expressamente;65;181;8;83
ante;188;81;25;49
agora;117;121;12;77
sim;60;160;12;77
verdade;75;112;15;101
terceiro;59;137;13;92
tao;89;105;17;90
independentemente;53;112;52;78
nossa;49;111;5;123
tipo;36;91;30;102
exatamente;72;120;7;71
hoje;47;90;14;119
nada;63;109;9;68
constitucionalmente;40;121;22;84
si;33;101;22;102
entanto;64;92;18;84
verdadeiro;32;80;27;107
tudo;55;74;27;70
depois;61;85;11;75
tampouco;58;100;21;52
acima;74;79;18;59
diretamente;48;100;32;53
nome;22;61;6;121
g;64;87;5;62
especificamente;90;71;16;47
logo;92;67;13;49
ademais;60;69;32;53
t;108;19;2;25
sobretudo;39;62;27;83
povo;7;93;8;91
igualmente;55;63;14;79
pouco;39;66;12;82
f;71;57;11;60
anteriormente;88;52;21;42
isto;31;92;14;61
eis;68;84;8;37
ai;44;80;13;42
vinte;38;86;7;37
salvo;11;121;7;49
mil;3;38;10;75
hora;41;54;3;67
cento;10;50;60;34
quatro;45;72;16;36
notadamente;28;46;13;61
ambos;46;74;12;46
imediatamente;51;91;22;11
cinco;50;51;11;42
muita;21;42;10;85
integralmente;107;34;7;10
exclusivamente;41;63;24;30
devidamente;63;30;10;32
apesar;41;36;19;63
lhes;25;47;32;42
efetivamente;31;58;10;51
x;23;41;11;63
inicialmente;83;24;13;26
trinta;23;33;44;35
talvez;45;46;1;50
meramente;50;50;8;42
ecologicamente;14;19;1;113
consoante;33;66;12;29
eventualmente;43;55;9;26
mim;63;36;8;29
necessariamente;12;51;19;55
bilhao;8;2;65;29
sequer;51;46;10;27
dez;24;39;17;31
absolutamente;33;57;5;35
l;20;29;0;38
justamente;32;42;13;31
atraves;19;40;11;47
terco;7;103;2;8
xi;23;45;2;30
realmente;37;49;5;24
posteriormente;51;44;8;12
principalmente;26;33;3;55
tentar;34;33;0;33
relativamente;22;44;8;30
simplesmente;20;45;2;34
potencialmente;8;4;0;91
vario;25;26;7;44
previamente;11;51;9;23
ninguem;7;41;0;48
senao;21;52;2;24
bastante;21;25;11;34
quase;15;23;10;43
h;17;42;1;40
plenamente;34;32;4;26
atualmente;19;30;10;33
oito;18;46;2;12
evidentemente;15;40;5;30
ali;26;38;4;24
2;22;31;1;38
ontem;34;25;1;24
corrente;20;14;45;11
usar;5;17;4;55
quinze;27;34;6;1
seis;19;43;3;14
juridicamente;19;38;3;24
consequentemente;14;25;9;36
ultimo;9;21;17;35
recentemente;27;24;3;28
jamais;14;32;1;32
novamente;26;26;7;18
zero;34;11;15;14
algo;10;35;2;30
obviamente;10;40;3;22
alguem;6;24;4;36
afinal;8;34;2;31
privativamente;1;55;2;7
preliminarmente;46;16;2;6
digitalmente;58;2;0;4
quarenta;21;24;6;14
nunca;8;22;4;37
u;11;11;0;40
pro;15;11;2;10
extremamente;19;17;0;34
eminentemente;15;33;3;19
precisamente;11;30;5;22
ligar;10;22;1;36
indiretamente;11;45;2;8
duodecimo;9;5;52;0
claramente;13;31;0;21
caminho;8;18;3;34
respectivamente;16;17;5;25
amplamente;16;16;4;29
subsidiariamente;19;24;3;7
sessenta;8;17;13;13
