"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"72";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"73";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"74";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"75";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"76";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"77";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"78";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"79";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"80";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"81";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"82";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"83";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"84";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"85";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"86";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"87";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"88";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"89";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"90";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"91";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"92";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"93";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"94";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"95";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"96";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"97";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"98";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"99";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"100";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"101";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"102";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"103";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"104";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"105";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"106";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"107";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"108";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"109";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"110";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"111";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"112";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"113";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"114";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"115";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"116";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"117";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"118";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"119";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"120";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"121";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"122";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"123";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"124";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"125";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"126";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"127";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"128";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"129";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"130";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"131";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"132";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"133";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"134";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"135";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"136";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"137";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"138";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"139";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"140";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"141";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"142";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"143";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"144";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"145";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"146";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"147";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"148";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"149";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"150";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"151";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"152";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"153";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"154";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"155";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"156";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"157";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"158";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"159";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"160";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"161";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"162";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"163";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"164";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"165";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"166";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"167";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
