"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"  25";" 167";"14.97";"  -68.81";"impossibilidade";" 1.083121e-16"
"   7";" 105";" 6.67";"  -68.47";"reparar";" 1.286830e-16"
"   1";"  81";" 1.23";"  -67.97";"declaratorio";" 1.661397e-16"
"  33";" 191";"17.28";"  -67.82";"mecanismo";" 1.788532e-16"
"  14";" 129";"10.85";"  -67.61";"indole";" 1.994320e-16"
"  33";" 190";"17.37";"  -67.05";"representacao";" 2.649195e-16"
" 128";" 457";"28.01";"  -67.03";"questao";" 2.672835e-16"
"   1";"  79";" 1.27";"  -66.19";"ag";" 4.094706e-16"
"   0";"  73";" 0.00";"  -64.58";"rescisorio";" 9.256119e-16"
"  63";" 275";"22.91";"  -64.34";"face";" 1.045550e-15"
"   7";"  99";" 7.07";"  -63.24";"recurso_extraordinario";" 1.829755e-15"
"   0";"  70";" 0.00";"  -61.92";"qo";" 3.584615e-15"
"  65";" 277";"23.47";"  -61.84";"ofensa";" 3.731961e-15"
"  38";" 198";"19.19";"  -61.52";"afastar";" 4.382091e-15"
"   5";"  89";" 5.62";"  -61.04";"carlos";" 5.587187e-15"
"  77";" 308";"25.00";"  -60.15";"natureza";" 8.794747e-15"
"   3";"  80";" 3.75";"  -59.92";"aptidao";" 9.877736e-15"
"   2";"  76";" 2.63";"  -59.90";"mesa_diretora";" 9.966253e-15"
"   7";"  95";" 7.37";"  -59.76";"resultante";" 1.070128e-14"
"  24";" 152";"15.79";"  -59.39";"causa";" 1.294955e-14"
"   0";"  67";" 0.00";"  -59.25";"sanches";" 1.388645e-14"
"   0";"  67";" 0.00";"  -59.25";"procedibilidade";" 1.388645e-14"
"  45";" 215";"20.93";"  -58.73";"pretensao";" 1.809472e-14"
"   0";"  66";" 0.00";"  -58.36";"sydney";" 2.181104e-14"
"   4";"  82";" 4.88";"  -58.25";"tramitar";" 2.307246e-14"
"  10";" 104";" 9.62";"  -58.22";"rj";" 2.344185e-14"
"   0";"  65";" 0.00";"  -57.47";"neutralizar";" 3.425955e-14"
"  42";" 204";"20.59";"  -57.16";"arguente";" 4.012499e-14"
"  23";" 146";"15.75";"  -57.15";"negativo";" 4.034218e-14"
"   0";"  64";" 0.00";"  -56.59";"interposicao";" 5.381564e-14"
"  10";" 102";" 9.80";"  -56.51";"reflexo";" 5.577356e-14"
"  33";" 176";"18.75";"  -56.36";"especie";" 6.029588e-14"
"  72";" 288";"25.00";"  -56.16";"alegado";" 6.667462e-14"
"  14";" 115";"12.17";"  -55.87";"prover";" 7.745226e-14"
"  53";" 234";"22.65";"  -55.78";"decidir";" 8.088508e-14"
"  26";" 153";"16.99";"  -55.23";"senhor";" 1.070852e-13"
"  12";" 107";"11.21";"  -54.87";"diretorio";" 1.287666e-13"
"   0";"  62";" 0.00";"  -54.81";"galvao";" 1.328105e-13"
"   3";"  73";" 4.11";"  -53.74";"apreciado";" 2.286365e-13"
"   0";"  60";" 0.00";"  -53.03";"ilmar";" 3.278392e-13"
"  38";" 186";"20.43";"  -52.68";"ativo";" 3.920219e-13"
"  34";" 174";"19.54";"  -52.62";"mc";" 4.047246e-13"
"   7";"  86";" 8.14";"  -51.97";"luis_roberto_barroso";" 5.624059e-13"
"  72";" 281";"25.62";"  -51.69";"interesse";" 6.501852e-13"
"  53";" 228";"23.25";"  -51.68";"revelar";" 6.519973e-13"
"   1";"  62";" 1.61";"  -51.10";"pa";" 8.788003e-13"
"   2";"  66";" 3.03";"  -51.05";"britto";" 9.000955e-13"
"  44";" 201";"21.89";"  -50.86";"pleno";" 9.936147e-13"
"  21";" 131";"16.03";"  -50.32";"agravar";" 1.308370e-12"
"  29";" 155";"18.71";"  -49.71";"prefeito";" 1.785563e-12"
"   5";"  76";" 6.58";"  -49.68";"prejudicialidade";" 1.812171e-12"
"   4";"  72";" 5.56";"  -49.47";"candidatura";" 2.010588e-12"
"   2";"  64";" 3.12";"  -49.28";"divulg";" 2.215740e-12"
"  32";" 163";"19.63";"  -48.93";"pleito";" 2.659175e-12"
"   3";"  67";" 4.48";"  -48.46";"public";" 3.374192e-12"
"  26";" 144";"18.06";"  -48.32";"sessao";" 3.627128e-12"
" 109";" 374";"29.14";"  -48.15";"possibilidade";" 3.954298e-12"
"   1";"  58";" 1.72";"  -47.55";"rtj";" 5.353824e-12"
"  10";"  91";"10.99";"  -47.21";"omissivo";" 6.387490e-12"
"   1";"  57";" 1.75";"  -46.67";"desprovimento";" 8.412722e-12"
"   2";"  61";" 3.28";"  -46.63";"suspensivo";" 8.559440e-12"
"  13";" 100";"13.00";"  -46.24";"repercussao_geral";" 1.043883e-11"
