"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"inusitado";-1,48800729175484;-0,896488309548811;-0,856555940962487;-0,516054183203536;0,842466092126789;0,157533907873187;8,40654818937586e-05;3,05138389178494e-05;3,79671141512926e-05;0,930855099359879;3,28981709091272e-05
"intimidade";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000125923624831575;2,20746857044464e-05;3,79671141512926e-05;1,09188726106643;4,52650689595102e-05
"inocorrencia";-0,0192801874715744;1,65555947633101;-0,0116449336088448;0,999932195461895;0,000263194092627854;0,999736805907272;1,29372369379827e-08;9,53912636922492e-05;3,48031879720182e-05;0,682380207722766;1,62058520826842e-05
"inegavel";-0,49556247901601;0,144800890626168;-0,959863563953757;0,280467357448226;0,957869700901844;0,0421302990981653;9,32404630501488e-06;7,96067793805598e-07;3,79671141512926e-05;0,290735749438124;3,20925673684098e-06
"individualizado";-0,38919907911882;1,06229694005286;-0,344013258485244;0,938964790599927;0,20670236013628;0,793297639863656;5,75110366681089e-06;4,28449311249591e-05;3,79671141512926e-05;0,491532596969201;9,17301780530922e-06
"incognoscibilidade";0,723678818982853;0,134612091788438;0,983136358508711;0,182874001919989;0,982487587879892;0,0175124121201068;1,98837965738888e-05;6,87979874480425e-07;3,79671141512926e-05;0,419213792953146;6,672348393915e-06
"inaplicabilidade";0,823646907304748;2,36414000388153;0,328997117326028;0,944330925465837;0,190682990635506;0,809317009364399;2,3610281833177e-05;0,000194520515015938;3,48031879720182e-05;1,08302462808036;4,08221329143703e-05
"imune";-0,601925878913199;-0,77269515880052;-0,614538882754608;-0,788886532768001;0,540852818673276;0,459147181326662;1,37560459923026e-05;2,26685619677252e-05;3,79671141512926e-05;0,469955465591137;8,38534619891537e-06
"ignorar";-0,715324121543214;-0,246956159294165;-0,945253730918818;-0,326336305341675;0,942150860010953;0,0578491399890382;1,94273394428923e-05;2,31551347471833e-06;3,79671141512926e-05;0,423151499002169;6,79828481439899e-06
"gratae";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000125923624831575;2,20746857044464e-05;3,79671141512926e-05;1,09188726106643;4,52650689595102e-05
