"";"classe 1";"classe 2";"classe 3"
"desatendimento";-4,611;0,143;4,283
"desacordo";3,467;-0,134;-3,082
"delibacao";-0,657;-3,448;8,034
"dedicar";6,403;-1,236;-3,082
"decurso";-0,02;-1,236;1,702
"decoro";-2,188;-1,236;8,034
"corte_constitucional";-4,611;6,835;-0,051
"cooperacao";10,231;-3,448;-3,082
"conviccao";6,403;-3,448;-0,981
"contratante";9,093;-3,065;-2,74
"contingenciamento";0,276;-1,236;0,291
"consultivo";3,467;-1,236;-0,981
"consensual";1,425;-0,134;-0,981
"conceber";6,403;-3,448;-0,981
"conass";9,093;-3,065;-2,74
"completar";5,321;-0,922;-2,74
"comparacao";10,231;-3,448;-3,082
"comitiva";6,819;-2,298;-2,054
"cognicao";-2,188;-1,236;8,034
"clinico";10,231;-3,448;-3,082
"china";10,231;-3,448;-3,082
"cela";10,231;-3,448;-3,082
"cbf";10,231;-3,448;-3,082
"caro";6,403;-1,236;-3,082
"cardiaco";7,956;-2,681;-2,397
"caos";6,403;-3,448;-0,981
"canotilho";9,093;-3,065;-2,74
"batista";-2,976;-2,681;13,367
"açao";-7,927;23,522;-3,082
"aviao";3,409;-1,149;-1,027
"atuarial";9,093;-3,065;-2,74
"atento";10,231;-3,448;-3,082
"assolar";10,231;-3,448;-3,082
"artistico";10,231;-3,448;-3,082
"arquivo";10,231;-3,448;-3,082
"arbitro";9,093;-3,065;-2,74
"apreender";5,682;-1,915;-1,712
"anisio";5,682;-1,915;-1,712
"amianto";5,321;-0,922;-2,74
"alternancia";-0,657;-1,236;4,283
"alocar";6,403;-1,236;-3,082
"alimentar";6,403;-3,448;-0,981
"adstrito";-4,611;0,143;4,283
"acordado";6,403;-1,236;-3,082
"acatar";6,403;-1,236;-3,082
"abrupto";2,554;-3,065;-0,001
"zelar";0,791;-3,065;0,607
"xxxix";9,093;-3,065;-2,74
"xlv";0,95;-2,298;0,194
"vogal";-1,444;-1,915;7,821
"velocidade";9,093;-3,065;-2,74
"variado";2,554;-0,922;-0,712
"usina";6,819;-2,298;-2,054
"usado";7,956;-2,681;-2,397
"uol";9,093;-3,065;-2,74
"unir";6,819;-2,298;-2,054
"tunc";-7,046;-0,029;10,325
"troca";0,95;-0,364;-0,246
"treinamento";9,093;-3,065;-2,74
"teratologia";-7,046;20,907;-2,74
"sustacao";0,791;-3,065;0,607
"supremacia";-0,279;4,846;-2,74
"subsidio";9,093;-3,065;-2,74
"sopesar";5,321;-0,922;-2,74
"sobreposicao";9,093;-3,065;-2,74
"signatario";9,093;-3,065;-2,74
"sexo";9,093;-3,065;-2,74
"severo";9,093;-3,065;-2,74
"sergipe";1,277;-0,014;-1,369
"senado";0,033;-3,065;2,529
"secundarista";1,277;-1,532;-0,001
"secult";2,554;-3,065;-0,001
"saque";5,321;-3,065;-0,712
"rree";-7,046;20,907;-2,74
"rpps";9,093;-3,065;-2,74
"romper";2,554;-3,065;-0,001
"rogar";-3,786;-3,065;16,198
"rodoviario";5,321;-0,922;-2,74
"ricar";7,956;-2,681;-2,397
"ressentir";0,791;-3,065;0,607
"residencia";6,819;-2,298;-2,054
"resgatar";9,093;-3,065;-2,74
"repeticao";-0,279;0,385;-0,001
"renovar";0,033;-0,922;0,607
"renato";9,093;-3,065;-2,74
"remocao";9,093;-3,065;-2,74
"rememorar";0,033;-0,922;0,607
"reino";7,956;-2,681;-2,397
"regulatoria";2,554;-0,029;-2,74
"reeleger";-3,786;-3,065;16,198
"reduzido";9,093;-3,065;-2,74
"receptor";9,093;-3,065;-2,74
"prouni";5,321;-0,922;-2,74
"propter";2,554;-3,065;-0,001
"prolator";-2,191;-0,364;5,355
"presumido";-2,191;-2,298;10,569
"prejudicial";0,033;-0,029;-0,001
"prefacial";2,554;-3,065;-0,001
"precatorio";-6,165;11,779;-0,464
"precariedade";5,321;-3,065;-0,712
"praia";6,819;-2,298;-2,054
"portugues";4,256;-0,628;-2,397
"ponta";6,819;-2,298;-2,054
"pnae";9,093;-3,065;-2,74
"plataforma";4,256;-2,681;-0,464
"persona";7,956;-2,681;-2,397
"persecucao";9,093;-3,065;-2,74
"perito";3,215;-0,364;-2,054
"perimetro";9,093;-3,065;-2,74
"perfunctorio";-1,53;-3,065;10,325
"pereira";0,475;-1,149;0,097
"pediatrico";7,956;-2,681;-2,397
"passagem";-0,279;-0,029;0,607
"partida";7,956;-2,681;-2,397
"parametricidade";-7,046;4,846;0,607
"pagador";4,256;-0,628;-2,397
"oneroso";9,093;-3,065;-2,74
"omissao_inconstitucional";9,093;-3,065;-2,74
"nr";9,093;-3,065;-2,74
"negocio";9,093;-3,065;-2,74
"negociacao";9,093;-3,065;-2,74
"ne";3,409;-1,149;-1,027
"mtur";2,554;-3,065;-0,001
"metodo";5,321;-0,922;-2,74
"manto";2,554;-0,029;-2,74
"locativo";9,093;-3,065;-2,74
"locaticio";0,791;-3,065;0,607
"literalidade";-7,046;-0,029;10,325
"largo";5,321;-0,922;-2,74
"ka";9,093;-3,065;-2,74
"judicializacao";0,791;-0,029;-0,712
"jan";4,256;-0,628;-2,397
"irrupcao";9,093;-3,065;-2,74
"ira";9,093;-3,065;-2,74
"investidor";9,093;-3,065;-2,74
"inves";9,093;-3,065;-2,74
"intransponivel";-3,786;4,846;-0,001
"interinstitucional";5,321;-0,922;-2,74
"intempestivo";-0,279;-0,029;0,607
"insuperavel";-1,53;4,846;-0,712
"inexigibilidade";0,033;-3,065;2,529
"inerte";0,791;-3,065;0,607
"inedito";-0,936;-2,681;7,777
"induzir";0,791;-0,922;-0,001
"indicativo";2,554;-3,065;-0,001
"incursao";2,554;-0,922;-0,712
"incongruencia";-7,046;4,846;0,607
"imprevisto";9,093;-3,065;-2,74
"impregnar";-1,53;8,95;-2,74
"implantacao";5,321;-3,065;-0,712
"impetracao";-3,786;4,846;-0,001
"imperioso";0,791;-0,922;-0,001
"impeachment";-3,786;-3,065;16,198
"iminencia";2,554;-3,065;-0,001
"iac";-7,046;0,385;5,769
"hierarquico";-1,53;-0,029;2,529
"hazenclever";-0,936;-2,681;7,777
"guaido";6,819;-2,298;-2,054
"gravoso";5,321;-0,922;-2,74
"glifosato";7,956;-2,681;-2,397
"gerir";9,093;-3,065;-2,74
"gerenciar";9,093;-3,065;-2,74
"generalizado";2,554;-3,065;-0,001
"fumus";-1,53;-3,065;10,325
"fulminar";-3,786;-3,065;16,198
"fulcro";2,554;-3,065;-0,001
"frustracao";0,033;1,991;-2,74
"fragilizar";5,321;-3,065;-0,712
"fragilizacao";2,554;-0,029;-2,74
"fotografia";4,545;-1,532;-1,369
"forcoso";-1,53;-0,029;2,529
"fomentar";9,093;-3,065;-2,74
"filiacao";-3,786;-3,065;16,198
"felipe";-4,403;-1,915;14,614
"fefc";-1,53;-3,065;10,325
"faturamento";2,554;-3,065;-0,001
"farmaco";9,093;-3,065;-2,74
"facultar";0,791;-3,065;0,607
"facility";9,093;-3,065;-2,74
"fabricar";9,093;-3,065;-2,74
"extracao";5,321;-0,922;-2,74
"extenso";5,321;-3,065;-0,712
"exportar";5,321;-3,065;-0,712
"exponencial";5,321;-3,065;-0,712
"expendidos";-0,279;1,991;-0,712
"etnico";4,256;-2,681;-0,464
"estreito";0,033;-0,029;-0,001
"estadio";9,093;-3,065;-2,74
"especializar";6,819;-2,298;-2,054
"equivaler";0,791;-0,922;-0,001
"emprestar";0,033;1,991;-2,74
"embrionario";-1,53;-3,065;10,325
"eleitorado";7,956;-2,681;-2,397
"eficacial";-7,046;-0,922;16,198
"durar";5,321;-3,065;-0,712
"doente";5,321;-3,065;-0,712
"dezena";-0,279;-3,065;5,769
"despachei";-0,279;-3,065;5,769
"desdobramento";-1,53;1,991;-0,001
"desconhecer";0,791;-0,029;-0,712
"descaracterizar";-7,046;14,304;-0,712
"democrata";0,033;-0,029;-0,001
"demasia";-1,53;4,846;-0,712
"demandado";2,554;-0,922;-0,712
"decada";-0,279;-3,065;5,769
"custar";7,956;-2,681;-2,397
"culpabilidade";-3,786;-3,065;16,198
"cuba";0,3;-2,681;1,111
"ctn";9,093;-3,065;-2,74
"cruel";9,093;-3,065;-2,74
"crescimento";9,093;-3,065;-2,74
"crescente";9,093;-3,065;-2,74
"cp";9,093;-3,065;-2,74
"covax";9,093;-3,065;-2,74
"coronel";5,682;-1,915;-1,712
"convergente";-1,53;1,991;-0,001
"conveniente";9,093;-3,065;-2,74
"contributivo";2,554;-3,065;-0,001
"confusao";-0,044;0,805;-0,464
"conferenciar";7,956;-2,681;-2,397
"concretude";2,554;-0,029;-2,74
"companhia";-0,044;-2,681;3,692
"companheiro";2,554;-3,065;-0,001
"comercializar";7,956;-2,681;-2,397
"comecar";9,093;-3,065;-2,74
"coletor";9,093;-3,065;-2,74
"colegialidade";-7,046;20,907;-2,74
"coincidencia";-3,786;-3,065;16,198
"coimbrao";0,95;-0,364;-0,246
"coercitivo";-3,786;-3,065;16,198
"cobrir";9,093;-3,065;-2,74
"cne";9,093;-3,065;-2,74
"clima";0,791;-3,065;0,607
"circunscricao";0,791;-3,065;0,607
"chegada";9,093;-3,065;-2,74
"chance";2,554;-3,065;-0,001
"chamar";5,321;-3,065;-0,712
"cessacao";-3,786;0,385;2,529
"centena";9,093;-3,065;-2,74
"cancado";-0,936;-2,681;7,777
"campestre";-7,046;-3,065;23,387
"caixa";5,321;-3,065;-0,712
"boni";-1,53;-3,065;10,325
"bombeiro";9,093;-3,065;-2,74
"bloquear";2,554;-3,065;-0,001
"barragem";-0,279;-0,922;2,529
"azar";-0,936;-0,628;3,692
"autorizadores";0,791;-0,029;-0,712
"autenticidade";7,956;-2,681;-2,397
"assessoramento";5,321;-0,922;-2,74
"aprimoramento";5,321;-3,065;-0,712
"anteceder";-1,53;1,991;-0,001
"antecedente";5,321;-3,065;-0,712
"andrade";0,349;-1,915;0,554
"analogia";-0,279;-0,922;2,529
"analitico";-3,786;1,991;0,607
"amigo";2,554;-0,029;-2,74
"alugar";5,321;-0,922;-2,74
"alinhamento";9,093;-3,065;-2,74
"afigurando";9,093;-3,065;-2,74
"afeto";5,321;-3,065;-0,712
"adjunto";4,545;-1,532;-1,369
"adimplemento";-3,786;-3,065;16,198
"aco";5,321;-3,065;-0,712
"abracrim";-0,936;-2,681;7,777
"zfm";5,682;-1,915;-1,712
"xx";1,704;0,003;-2,397
"xix";4,256;-0,628;-2,397
"voo";3,409;-1,149;-1,027
"vivo";7,956;-2,681;-2,397
"virar";-0,936;-2,681;7,777
"vies";4,256;-2,681;-0,464
"vetor";4,256;-2,681;-0,464
"vertical";-0,936;6,693;-2,397
"vene";7,956;-2,681;-2,397
"valoracao";4,256;-2,681;-0,464
"uno";-6,165;18,292;-2,397
"unipartidaria";-2,976;-2,681;13,367
"unilateral";0,3;0,003;-0,464
"turismo";1,704;0,003;-2,397
"tracar";0,3;0,805;-2,397
"trabalhar";3,215;-2,298;-0,246
"tocar";0,3;-0,628;0,035
"tipicidade";-0,936;3,035;-0,464
"temporalidade";7,956;-2,681;-2,397
"teleologico";-6,165;-0,628;13,367
"tarcisio";-0,936;-0,628;3,692
"suspeicao";-2,191;-0,364;5,355
"supracitado";-0,936;-0,628;3,692
"substantivar";-6,165;11,779;-0,464
"sisu";7,956;-2,681;-2,397
"separado";1,704;-0,628;-0,464
"sbim";7,956;-2,681;-2,397
"sans";-6,165;18,292;-2,397
"sancionadores";7,956;-2,681;-2,397
"ruy";0,3;-2,681;1,111
"rural";7,956;-2,681;-2,397
"roma";7,956;-2,681;-2,397
"rodovia";0,3;0,003;-0,464
"rir";-2,976;-2,681;13,367
"rigido";-0,044;0,003;0,035
"rezek";-6,165;18,292;-2,397
"revisional";0,024;-2,298;1,897
"retotalizacao";-5,284;-2,298;17,538
"resumo";-0,044;0,805;-0,464
"repressivo";-2,976;11,779;-2,397
"repisar";-0,936;3,035;-0,464
"reitor";7,956;-2,681;-2,397
"regularizar";0,3;-2,681;1,111
"redistribuicao";-0,936;-2,681;7,777
"recomposicao";4,256;-2,681;-0,464
"recife";4,256;-2,681;-0,464
"rebanho";7,956;-2,681;-2,397
"reabrir";7,956;-2,681;-2,397
"radical";4,256;-2,681;-0,464
"punitivo";-0,936;0,805;0,035
"propugnar";0,3;-2,681;1,111
"progressao";7,956;-2,681;-2,397
"process";-6,165;11,779;-0,464
"probidade";0,3;-0,628;0,035
"privacidade";7,956;-2,681;-2,397
"priorizar";7,956;-2,681;-2,397
"primo";0,3;0,805;-2,397
"press";6,819;-2,298;-2,054
"preparar";4,256;-0,628;-2,397
"prematuro";1,704;-0,628;-0,464
"predominante";-2,976;0,805;1,111
"precitado";4,256;-2,681;-0,464
"praca";0,3;-2,681;1,111
"petendi";-6,165;-2,681;20,462
"pessoalidade";7,956;-2,681;-2,397
"personalidade";7,956;-2,681;-2,397
"perplexidade";4,256;-0,628;-2,397
"perpassar";1,704;0,003;-2,397
"perfilhar";-6,165;-0,628;13,367
"penitenciar";4,256;-2,681;-0,464
"patria";0,3;-0,628;0,035
"partilhar";7,956;-2,681;-2,397
"particularidade";-0,044;0,805;-0,464
"pars";7,956;-2,681;-2,397
"parlatorio";7,956;-2,681;-2,397
"paritario";7,956;-2,681;-2,397
"pardo";7,956;-2,681;-2,397
"paralisacao";1,704;-2,681;0,035
"paradigmatico";-0,936;3,035;-0,464
"outorgante";-0,936;-2,681;7,777
"organizacional";4,256;-2,681;-0,464
"organismo";-0,044;0,003;0,035
"organicidade";-6,165;-0,628;13,367
"online";4,256;-2,681;-0,464
"omitir";0,3;-0,628;0,035
"olvidar";4,256;-2,681;-0,464
"olhar";-0,044;-0,628;1,111
"nuvem";6,819;-2,298;-2,054
"news";0,3;-2,681;1,111
"motorista";0,95;-2,298;0,194
"mortalidade";6,819;-2,298;-2,054
"moradia";0,3;0,805;-2,397
"moderador";1,704;-2,681;0,035
"minuto";7,956;-2,681;-2,397
"migratorio";3,215;-2,298;-0,246
"memoria";5,682;-1,915;-1,712
"melhora";4,256;-2,681;-0,464
"mecanico";4,256;-0,628;-2,397
"marginalizacao";7,956;-2,681;-2,397
"mandela";7,956;-2,681;-2,397
"majoritario";-0,936;-0,628;3,692
"majoracao";4,256;-2,681;-0,464
"lvi";7,956;-2,681;-2,397
"loco";7,956;-2,681;-2,397
"litro";6,819;-2,298;-2,054
"liquidante";4,256;-2,681;-0,464
"line";5,682;-1,915;-1,712
"liberar";0,3;-2,681;1,111
"liberal";0,349;-1,915;0,554
"lesar";-1,444;6,837;-1,712
"legivel";7,956;-2,681;-2,397
"lealdade";7,956;-2,681;-2,397
"jurujuba";5,682;-1,915;-1,712
"junta";-0,936;-2,681;7,777
"jogador";7,956;-2,681;-2,397
"jcvi";6,819;-2,298;-2,054
"ivermectina";7,956;-2,681;-2,397
"isonomico";-0,936;-2,681;7,777
"irregular";7,956;-2,681;-2,397
"intitular";7,956;-2,681;-2,397
"interacao";7,956;-2,681;-2,397
"intentar";0,3;-2,681;1,111
"insubsistentes";-6,165;18,292;-2,397
"insculpir";1,704;-0,628;-0,464
"ingles";4,256;-0,628;-2,397
"infectologia";7,956;-2,681;-2,397
"industrializacao";7,956;-2,681;-2,397
"inducao";7,956;-2,681;-2,397
"indexador";1,704;0,003;-2,397
"indesejavel";7,956;-2,681;-2,397
"indeferi";1,704;-2,681;0,035
"indeclinavel";0,3;0,805;-2,397
"incontido";7,956;-2,681;-2,397
"incompetencia";-6,165;0,003;7,777
"incitamento";-6,165;-2,681;20,462
"incerto";-0,936;3,035;-0,464
"inalterado";4,256;-2,681;-0,464
"impossibilitar";7,956;-2,681;-2,397
"imento";-3,522;-1,532;11,69
"identificavel";-0,936;3,035;-0,464
"idec";0,016;-1,532;1,264
"historiar";7,956;-2,681;-2,397
"harmonizar";0,3;-2,681;1,111
"harmonizacao";1,704;-2,681;0,035
"guiar";7,956;-2,681;-2,397
"guarir";-2,976;3,035;0,035
"grief";-5,284;15,678;-2,054
"gravidez";7,956;-2,681;-2,397
"graduacao";3,215;-2,298;-0,246
"gm";7,956;-2,681;-2,397
"garantidor";7,956;-2,681;-2,397
"gadh";4,545;-1,532;-1,369
"fugir";7,956;-2,681;-2,397
"frustrar";1,704;-2,681;0,035
"fruicao";7,956;-2,681;-2,397
"flexibilizar";7,956;-2,681;-2,397
"fito";7,956;-2,681;-2,397
"findar";-2,976;3,035;0,035
"figurar";0,3;0,003;-0,464
"fake";-0,044;-2,681;3,692
"expurgar";4,545;-1,532;-1,369
"explicitacao";4,256;-2,681;-0,464
"expandir";0,3;0,805;-2,397
"exequente";-6,165;-0,628;13,367
"exaustao";-2,976;11,779;-2,397
"estruturacao";7,956;-2,681;-2,397
"estadunidense";1,704;0,003;-2,397
"estabilidade";0,95;-0,364;-0,246
"especificidade";-0,044;0,805;-0,464
"especializacao";1,704;0,003;-2,397
"esgotar";1,704;-0,628;-0,464
"escasso";7,956;-2,681;-2,397
"envasar";7,956;-2,681;-2,397
"entrelacamento";7,956;-2,681;-2,397
"enricar";1,704;-2,681;0,035
"emerson";-4,403;-1,915;14,614
"embasamento";1,704;-0,628;-0,464
"embaixada";7,956;-2,681;-2,397
"elididas";4,256;-2,681;-0,464
"egide";4,256;-0,628;-2,397
"duplo";1,704;-2,681;0,035
"due";-6,165;11,779;-0,464
"drap";-6,165;-2,681;20,462
"domingo";3,215;-2,298;-0,246
"distinguir";-0,044;3,035;-2,397
"disseminar";7,956;-2,681;-2,397
"disease";3,409;-1,149;-1,027
"dipro";3,409;-1,149;-1,027
"diminuicao";7,956;-2,681;-2,397
"desumano";7,956;-2,681;-2,397
"deslocamento";3,215;-0,364;-2,054
"desfavoravel";-2,976;0,805;1,111
"desejar";1,704;-2,681;0,035
"desconstitui";-6,165;-0,628;13,367
"desacerto";-2,976;0,003;3,692
"depen";7,956;-2,681;-2,397
"denominacao";7,956;-2,681;-2,397
"delimitacao";0,3;-0,628;0,035
"degradante";7,956;-2,681;-2,397
"deflagracao";-0,936;6,693;-2,397
"declinar";-6,165;-2,681;20,462
"decadencia";0,024;-2,298;1,897
"crescer";7,956;-2,681;-2,397
"credito";0,3;-0,628;0,035
"credenciamento";7,956;-2,681;-2,397
"corretivo";3,215;-2,298;-0,246
"corporis";-6,165;-0,628;13,367
"corolario";4,256;-2,681;-0,464
"conversa";3,409;-1,149;-1,027
"contravencao";-0,044;-0,628;1,111
"contrario";-0,936;6,693;-2,397
"contraprestacao";7,956;-2,681;-2,397
"consolidacao";0,3;0,003;-0,464
"consignei";1,704;-2,681;0,035
"consectariamente";-6,165;-0,628;13,367
"consectaria";-0,936;-0,628;3,692
"conformar";1,704;-0,628;-0,464
"conexo";-2,976;0,805;1,111
"concordar";7,956;-2,681;-2,397
"conciliatorio";-0,044;0,805;-0,464
"concepcao";0,3;-2,681;1,111
"compelir";7,956;-2,681;-2,397
"comemorativo";0,3;0,003;-0,464
"coincidir";-0,093;0,379;-0,08
"cmb";4,256;-0,628;-2,397
"cingir";-0,936;-0,628;3,692
"ciclo";1,704;0,003;-2,397
"cgpi";7,956;-2,681;-2,397
"certeza";-0,044;0,003;0,035
"cerceamento";-2,976;-2,681;13,367
"centrar";0,016;-0,014;-0,001
"catedra";-0,936;0,805;0,035
"cartunista";4,256;-2,681;-0,464
"carcerar";1,704;-0,628;-0,464
"cancelar";7,956;-2,681;-2,397
"caminhar";4,256;-0,628;-2,397
"cadastrar";6,819;-2,298;-2,054
"bras";7,956;-2,681;-2,397
"bolivariana";7,956;-2,681;-2,397
"biotech";7,956;-2,681;-2,397
"bater";7,956;-2,681;-2,397
"barro";-0,219;-1,149;2,677
"banir";7,956;-2,681;-2,397
"bairro";4,256;-0,628;-2,397
"aviso";-0,044;3,035;-2,397
"avenida";5,682;-1,915;-1,712
"autorizativa";-0,044;-2,681;3,692
"atrelar";-0,044;0,003;0,035
"atlantico";7,956;-2,681;-2,397
"assistente";-0,936;-2,681;7,777
"assento";-2,976;-0,628;7,777
"assecuratorias";7,956;-2,681;-2,397
"articulado";0,3;0,003;-0,464
"arrimo";-0,044;-0,628;1,111
"aprofundar";7,956;-2,681;-2,397
"alicerce";7,956;-2,681;-2,397
"alertar";4,256;-0,628;-2,397
"albuquerque";0,475;-1,149;0,097
"alastramento";7,956;-2,681;-2,397
"afirmativo";-0,936;-2,681;7,777
"advento";0,3;0,003;-0,464
"aderir";7,956;-2,681;-2,397
"acusatorio";-6,165;0,805;3,692
"acostar";-2,976;-2,681;13,367
"aclaratorios";-6,165;-2,681;20,462
"acentuado";1,704;0,003;-2,397
"york";5,682;-1,915;-1,712
"xxxii";6,819;-2,298;-2,054
"xlvi";0,95;-2,298;0,194
"vocacao";3,215;-0,364;-2,054
"vinda";0,95;-2,298;0,194
"vinculantes";0,024;-2,298;1,897
"vendido";4,545;-1,532;-1,369
"valorizacao";6,819;-2,298;-2,054
"utilizaçao";-5,284;15,678;-2,054
"usufruir";6,819;-2,298;-2,054
"unissono";-5,284;9,284;-0,246
"ultra";0,024;0,096;-0,246
"twitter";6,819;-2,298;-2,054
"travar";0,024;0,096;-0,246
"transportar";3,409;-1,149;-1,027
"transmissor";6,819;-2,298;-2,054
"transicao";-0,438;-2,298;5,355
"transcorrer";0,95;-0,364;-0,246
"traducao";3,215;-0,364;-2,054
"toque";3,215;-2,298;-0,246
"tergiversar";6,819;-2,298;-2,054
"suportar";6,819;-2,298;-2,054
"sucedido";-2,191;1,493;0,194
"subjetividade";0,95;-0,364;-0,246
"subcomissao";5,682;-1,915;-1,712
"solo";6,819;-2,298;-2,054
"solapar";6,819;-2,298;-2,054
"sociedade_civil";6,819;-2,298;-2,054
"sls";-5,284;0,096;5,355
"sl";-5,284;-2,298;17,538
"sinal";6,819;-2,298;-2,054
"sidney";-5,284;0,096;5,355
"seletivo";-0,438;1,493;-0,246
"segredo";6,819;-2,298;-2,054
"segmento";0,95;0,096;-2,054
"seculo";6,819;-2,298;-2,054
"secretario";3,215;-0,364;-2,054
"salvador";-2,191;0,096;1,897
"roupagem";-2,191;9,284;-2,054
"rosa";-5,284;-2,298;17,538
"rompimento";0,024;-0,364;0,194
"rev";6,819;-2,298;-2,054
"retroativo";-0,438;-2,298;5,355
"retratar";0,024;0,096;-0,246
"retificacao";6,819;-2,298;-2,054
"residente";5,682;-1,915;-1,712
"rescisao";-0,438;1,493;-0,246
"reputado";-0,438;-0,364;1,897
"reprimir";6,819;-2,298;-2,054
"repercutir";-2,191;-0,364;5,355
"repentino";0,95;-2,298;0,194
"repelir";-5,284;0,096;5,355
"repassar";5,682;-1,915;-1,712
"remunerar";3,215;-0,364;-2,054
"religioso";0,024;-0,364;0,194
"relevantissima";-2,191;9,284;-2,054
"rejeito";-5,284;9,284;-0,246
"redatoria";-5,284;-2,298;17,538
"reconsiderar";-5,284;-2,298;17,538
"reaccao";5,682;-1,915;-1,712
"reacao";6,819;-2,298;-2,054
"quociente";-5,284;-2,298;17,538
"quo";-2,191;-2,298;10,569
"quitacao";6,819;-2,298;-2,054
"queixa";3,215;-0,364;-2,054
"punicao";-2,191;-2,298;10,569
"psdb";0,024;-2,298;1,897
"provavel";6,819;-2,298;-2,054
"propiciar";6,819;-2,298;-2,054
"processante";3,215;-2,298;-0,246
"problematico";-0,438;-2,298;5,355
"primitivo";-5,284;-2,298;17,538
"prevalecente";-2,191;-2,298;10,569
"presidir";-0,093;-1,915;3,134
"preamar";3,215;-0,364;-2,054
"posteriori";6,819;-2,298;-2,054
"posicionar";3,215;-0,364;-2,054
"populacional";6,819;-2,298;-2,054
"pmb";-5,284;-0,364;10,569
"pinheiro";-2,641;-1,149;8,767
"pietro";3,215;-2,298;-0,246
"pgfn";0,024;-0,364;0,194
"pg";-5,284;15,678;-2,054
"petreo";-5,284;9,284;-0,246
"pesquisador";6,819;-2,298;-2,054
"permear";6,819;-2,298;-2,054
"pericial";5,682;-1,915;-1,712
"pec";2,212;-1,915;-0,08
"participativo";3,215;-0,364;-2,054
"paridade";0,95;-2,298;0,194
"pano";6,819;-2,298;-2,054
"onu";5,682;-1,915;-1,712
"officium";6,819;-2,298;-2,054
"ofendido";-0,438;-2,298;5,355
"oder";2,212;-0,148;-1,712
"objecao";0,95;-0,364;-0,246
"noblat";6,819;-2,298;-2,054
"nitrogenado";5,682;-1,915;-1,712
"nicolas";4,545;-1,532;-1,369
"new";5,682;-1,915;-1,712
"nelson";-0,765;0,995;-0,001
"mudar";-0,093;-0,148;0,554
"mtp";-2,191;-2,298;10,569
"monitorar";6,819;-2,298;-2,054
"molestia";6,819;-2,298;-2,054
"minudente";-0,438;4,556;-2,054
"minerio";6,819;-2,298;-2,054
"micro";6,819;-2,298;-2,054
"menstruar";6,819;-2,298;-2,054
"menina";6,819;-2,298;-2,054
"medo";4,545;-1,532;-1,369
"medicamentoso";6,819;-2,298;-2,054
"maternidade";6,819;-2,298;-2,054
"marcante";3,215;-2,298;-0,246
"marcal";3,215;-2,298;-0,246
"manifesto";-2,191;1,493;0,194
"maduro";4,545;-1,532;-1,369
"machado";3,215;-2,298;-0,246
"lucro";6,819;-2,298;-2,054
"loman";-5,284;-0,364;10,569
"literatura";3,215;-2,298;-0,246
"lins";0,95;-2,298;0,194
"licao";3,215;-0,364;-2,054
"levantar";-0,438;-0,364;1,897
"lapso";0,349;-0,148;-0,08
"lacuna";0,95;-0,364;-0,246
"lactante";6,819;-2,298;-2,054
"justen";3,215;-2,298;-0,246
"jurista";-2,191;-2,298;10,569
"judicioso";-5,284;-2,298;17,538
"juan";6,819;-2,298;-2,054
"italia";6,819;-2,298;-2,054
"itaguai";0,95;-2,298;0,194
"irrelevante";-5,284;-0,364;10,569
"ipi";6,819;-2,298;-2,054
"invadir";6,819;-2,298;-2,054
"intervalo";3,215;-2,298;-0,246
"interministerial";6,819;-2,298;-2,054
"intermediario";-0,438;4,556;-2,054
"interessante";3,215;-0,364;-2,054
"institucionalidade";-2,191;9,284;-2,054
"inovador";-2,191;4,556;-0,246
"inobservados";-0,438;1,493;-0,246
"inibitorio";0,024;-2,298;1,897
"ingrediente";6,819;-2,298;-2,054
"informatizado";3,215;-2,298;-0,246
"individualizaveis";-5,284;15,678;-2,054
"incompleto";-2,191;-2,298;10,569
"inativo";2,212;-1,915;-0,08
"imunizado";6,819;-2,298;-2,054
"impugnam";-2,191;1,493;0,194
"imprimir";3,215;-0,364;-2,054
"imigracao";6,819;-2,298;-2,054
"ilustrar";-0,438;-2,298;5,355
"igreja";-5,284;9,284;-0,246
"idoneidade";-0,438;4,556;-2,054
"ibccrim";-0,219;-1,149;2,677
"html";6,819;-2,298;-2,054
"homenagem";0,024;-2,298;1,897
"hierarquizacao";3,409;-1,149;-1,027
"hermeneuticas";-5,284;4,556;0,194
"hegemonico";3,215;-2,298;-0,246
"guia";6,819;-2,298;-2,054
"grafico";0,95;0,096;-2,054
"governanca";6,819;-2,298;-2,054
"gonet";-0,219;2,277;-1,027
"gatt";6,819;-2,298;-2,054
"garcia";-0,438;-2,298;5,355
"gama";-0,219;-1,149;2,677
"fruto";6,819;-2,298;-2,054
"frequente";6,819;-2,298;-2,054
"fraudulento";-2,191;-2,298;10,569
"fragilidade";5,682;-1,915;-1,712
"foto";4,545;-1,532;-1,369
"fortuna";5,682;-1,915;-1,712
"floresta";5,682;-1,915;-1,712
"fiscalizar";3,215;-2,298;-0,246
"financa";6,819;-2,298;-2,054
"fiar";3,215;-2,298;-0,246
"fbasd";3,215;-2,298;-0,246
"falecer";-5,284;1,493;1,897
"extravagante";-2,191;4,556;-0,246
"extensivo";-0,438;-2,298;5,355
"experimentar";0,95;0,096;-2,054
"expansao";6,819;-2,298;-2,054
"exoneracao";-2,191;-2,298;10,569
"existencial";6,819;-2,298;-2,054
"eximir";3,215;-2,298;-0,246
"exclusividade";3,215;-0,364;-2,054
"excedente";3,215;-0,364;-2,054
