fundamental;86;53;36
especie;33;88;55
disposto;98;45;34
atendimento;96;58;18
politicar;91;21;54
juizo;73;54;42
concessao;79;29;65
instituto;78;45;36
firmar;58;71;46
execucao;105;21;41
sucedaneo;4;151;16
ficar;109;15;45
evitar;71;79;24
cumprimento;110;18;43
aplicar;82;27;65
ressaltar;93;36;36
jurisdicional;26;101;45
submeter;66;66;35
governo;143;6;10
violar;63;71;38
exercer;88;44;34
controle_de_constitucionalidade;17;128;25
revogar;46;47;63
prova;93;40;17
impossibilidade;25;81;61
estatal;62;69;28
enem;118;1;2
nota;128;9;19
maneira;55;81;24
destinar;90;58;18
controle_concentrado;5;146;18
coletivo;72;85;3
razoar;52;45;68
mero;38;90;37
contrato;131;13;7
area;142;15;1
editar;86;39;37
demanda;78;27;56
pleito;32;19;112
diploma;40;37;79
deferir;78;7;80
cientificar;143;11;2
crianca;142;2;0
solucao;59;93;9
proc;1;1;5
organizacao;139;9;9
secretaria;128;3;13
regimento_interno;12;8;135
quadro;95;17;47
prejuizo;95;20;46
postulado;18;120;19
peticao;58;6;81
manter;95;10;53
so;62;75;21
pretender;52;64;42
configurar;57;64;38
levar;116;19;22
busca;61;45;43
admissibilidade;5;140;11
tribunal_superior_eleitoral;8;9;130
territorio;131;11;8
assegurar;133;12;9
grave;123;14;17
cumprir;75;51;22
controle_concentrado_de_constitucionalidade;5;113;36
essencial;68;69;16
definir;105;31;18
congresso_nacional;42;13;74
causa;24;29;99
preliminar;45;31;75
poder_judiciario;80;19;50
representar;100;24;25
publico;126;17;8
fixar;70;15;66
final;74;8;64
exemplo;69;65;15
taxa;130;1;5
improcedencia;28;9;107
garantia;109;16;20
envolver;66;48;34
alegacao;50;45;55
redacao;72;4;58
doer;81;23;33
superior;95;18;27
relacionar;119;13;15
privado;123;7;7
pag;107;12;29
tratamento;131;4;4
tecnico;134;4;8
negativo;23;92;31
executivo;94;29;23
embargos_de_declaracao;1;26;93
atribuicao;94;20;31
trazer;69;13;59
passar;88;25;27
carta;53;54;38
agravante;9;70;65
adolescente;138;0;0
penal;81;18;38
item;112;5;9
deixar;93;21;31
conteudo;45;55;44
ambiental;102;9;8
providenciar;95;27;22
efetivo;81;41;21
defender;59;38;46
ultimar;66;42;34
teor;67;27;48
revogacao;13;15;108
marco;58;3;72
tornar;62;56;24
legalidade;78;39;24
impor;54;40;48
candidato;48;6;74
relativo;97;23;22
oxigenio;118;1;0
marco_aurelio;2;80;29
intervencao;82;37;16
controle_abstrato_de_constitucionalidade;6;110;24
conselho;85;14;23
visar;79;29;32
intdo;3;2;12
incidental;34;46;30
garantir;125;4;10
diretorio;12;28;67
cautelar;68;9;57
caracterizar;30;74;36
autonomia;97;21;15
disposicao;64;42;32
regime;95;12;24
parametro;53;57;28
indicacao;34;47;48
tse;5;15;108
ordenamento;26;75;36
discutir;30;43;62
tomar;97;23;17
previo;54;60;17
grupo;116;5;4
chefe;42;9;32
atual;91;22;20
argumento;42;39;56
virtual;33;8;71
validade;49;39;41
linha;69;38;26
finalidade;68;44;19
agravar;21;35;75
procurador_geral_da_republica;37;19;78
detran;85;1;20
conjunto;56;25;38
organico;32;28;60
efetividade;26;103;5
assinar;27;2;103
administracao_publica;99;11;22
requerimento;71;9;47
interpor;4;18;107
autorizacao;102;14;9
periodo;103;4;19
investigacao;59;6;55
incidencia;39;24;66
idoneo;5;119;1
apreciacao;37;44;49
agdo;0;0;3
significar;51;73;6
responsavel;109;6;14
referir;54;41;35
orientacao;66;28;34
informar;92;7;29
elemento;36;49;35
concluir;63;21;40
produto;106;2;2
preservacao;47;28;8
instauracao;26;65;36
sumular;21;41;58
relevancia;34;66;28
partido_politico;9;27;81
indole;14;114;1
enfrentamento;92;25;6
edital;85;10;12
ed;32;76;14
doenca;115;0;0
campo;63;10;33
aprovar;114;4;8
saude_publica;117;3;6
inquerito;40;8;70
inc;29;27;58
governador;41;14;53
concentrado;5;109;12
reger;25;88;14
posto;45;36;44
manaus;111;2;2
constante;62;16;38
citar;51;51;24
habeas_corpus;25;52;34
argumentar;79;16;30
profissional;100;10;9
mandato;7;7;104
indireto;45;54;22
implicar;37;37;51
grifo;24;74;26
anvisa;110;0;1
conceder;84;0;36
interno;39;26;49
conclusao;53;33;34
atos_normativos;26;60;29
vistoria;86;1;9
unidade;101;11;5
restricao;99;5;7
reducao;101;0;17
fevereiro;76;6;35
edicao;77;19;24
ameaca;33;22;19
minimo;87;17;13
falta;58;32;27
extincao;28;7;80
dose;91;1;1
camara_municipal;15;5;72
adocao;81;20;19
suposto;31;67;20
ristf;4;10;101
meio_ambiente;101;5;4
judiciario;71;26;22
asseverar;63;25;32
urgencia;69;8;31
rj;10;56;38
reg;0;7;36
livre;82;15;11
fiscalizacao;40;62;15
coronavirus;109;0;4
agrotoxico;92;1;0
ag;1;7;71
aduzir;68;11;40
rol;79;17;13
rer;27;43;39
propositura;6;67;41
numerar;94;6;7
janeiro;85;2;22
instituir;79;26;11
exaurimento;2;57;50
criar;86;8;20
agenciar;102;4;5
voltar;74;12;29
titular;35;12;62
republicar;75;19;15
reconhecimento;42;18;55
prover;14;68;33
ex;29;20;44
devido;65;23;27
atribuir;51;25;38
aprovacao;93;12;6
setembro;77;1;32
registrar;76;13;24
emergencia;110;1;0
doutrina;24;84;7
servidor;52;33;21
policiar;85;4;13
partidario;25;24;50
