"";"classe 1";"classe 2";"classe 3"
"configurar";0,005;0;0,642
"levar";0;0;0,001
"busca";0,149;0,49;0,344
"admissibilidade";0;0;0
"tribunal_superior_eleitoral";0;0;0
"territorio";0;0;0
"assegurar";0;0;0
"grave";0;0;0
"cumprir";0,344;0,064;0,003
"controle_concentrado_de_constitucionalidade";0;0;0,544
"essencial";0,555;0;0
"definir";0;0,035;0
"congresso_nacional";0,001;0;0
"causa";0;0,017;0
"preliminar";0;0,048;0
"poder_judiciario";0,091;0;0,023
"representar";0;0,001;0,014
"publico";0;0;0
"fixar";0,91;0;0
"final";0,346;0;0
"exemplo";0,901;0;0
"taxa";0;0;0
"improcedencia";0;0;0
"garantia";0;0;0,001
"envolver";0,586;0,195;0,479
"alegacao";0,001;0,524;0,002
"redacao";0,107;0;0
"doer";0,004;0,004;0,703
"superior";0;0;0,09
"relacionar";0;0;0
"privado";0;0;0
"pag";0;0;0,098
"tratamento";0;0;0
"tecnico";0;0;0
"negativo";0;0;0,235
"executivo";0;0,034;0,007
"embargos_de_declaracao";0;0,139;0
"atribuicao";0;0;0,253
"trazer";0,612;0;0
"passar";0;0,009;0,09
"carta";0,013;0,01;0,844
"agravante";0;0;0
"adolescente";0;0;0
"penal";0,004;0;0,546
"item";0;0;0
"deixar";0;0;0,253
"conteudo";0;0,005;0,162
"ambiental";0;0;0
"providenciar";0;0,016;0,005
"efetivo";0,018;0,791;0,003
"defender";0,181;0,765;0,066
"ultimar";0,936;0,613;0,669
"teor";0,93;0,02;0,023
"revogacao";0;0;0
"marco";0,457;0;0
"tornar";0,449;0,002;0,018
"legalidade";0,042;0,994;0,02
"impor";0,035;0,897;0,023
"candidato";0,034;0;0
"relativo";0;0,002;0,006
"oxigenio";0;0;0
"marco_aurelio";0;0;0,879
"intervencao";0,001;0,942;0
"controle_abstrato_de_constitucionalidade";0;0;0,023
"conselho";0;0;0,091
"visar";0,022;0,064;0,471
"intdo";0,016;0,142;0
"incidental";0,001;0,001;0,668
"garantir";0;0;0
"diretorio";0;0,725;0
"cautelar";0,36;0;0
"caracterizar";0;0;0,953
"autonomia";0;0,002;0
"disposicao";0,917;0,468;0,532
"regime";0;0;0,058
"parametro";0,047;0;0,158
"indicacao";0;0,026;0,002
"tse";0;0;0
"ordenamento";0;0;0,834
"discutir";0;0,277;0
"tomar";0;0,004;0
"previo";0,197;0;0,001
"grupo";0;0;0
"chefe";0,488;0,001;0,006
"atual";0;0,004;0,005
"argumento";0;0,837;0
"virtual";0;0;0
"validade";0,043;0,516;0,1
"linha";0,24;0,819;0,114
"finalidade";0,241;0,129;0,004
"agravar";0;0,803;0
"procurador_geral_da_republica";0;0;0
"detran";0;0;0,116
"conjunto";0,957;0,102;0,106
"organico";0;0,285;0
"efetividade";0;0;0
"assinar";0;0;0
"administracao_publica";0;0;0,019
"requerimento";0,039;0;0,003
"interpor";0;0;0
"autorizacao";0;0;0
"periodo";0;0;0,007
"investigacao";0,604;0;0
"incidencia";0;0,021;0
"idoneo";0;0;0
"apreciacao";0;0,115;0,001
"agdo";0,104;0,284;0,003
"significar";0,082;0;0
"responsavel";0;0;0
"referir";0,226;0,324;0,708
"orientacao";0,28;0,14;0,781
"informar";0;0;0,459
"elemento";0;0,001;0,355
"concluir";0,371;0,007;0,083
"produto";0;0;0
"preservacao";0,072;0,217;0,001
"instauracao";0;0;0,46
"sumular";0;0,111;0
"relevancia";0;0;0,345
"partido_politico";0;0,263;0
"indole";0;0;0
"enfrentamento";0;0,067;0
"edital";0;0;0,001
"ed";0;0;0
"doenca";0;0;0
"campo";0,009;0;0,182
"aprovar";0;0;0
"saude_publica";0;0;0
"inquerito";0,005;0;0
"inc";0;0,338;0
"governador";0,064;0,001;0
"concentrado";0;0;0
"reger";0;0;0
"posto";0,015;0,78;0,012
"manaus";0;0;0
"constante";0,151;0,001;0,072
"citar";0,152;0,001;0,095
"habeas_corpus";0;0;0,213
"argumentar";0;0;0,699
"profissional";0;0;0
"mandato";0;0;0
"indireto";0,033;0;0,064
"implicar";0;0,631;0
"grifo";0;0;0,245
"anvisa";0;0;0
"conceder";0;0;0,256
"interno";0,007;0,242;0
"conclusao";0,559;0,963;0,474
"atos_normativos";0;0;0,945
"vistoria";0;0;0
"unidade";0;0;0
"restricao";0;0;0
"reducao";0;0;0,006
"fevereiro";0;0;0,271
"edicao";0;0,004;0,165
"ameaca";0,701;0,694;0,972
"minimo";0;0,001;0
"falta";0,548;0,935;0,546
"extincao";0;0;0
"dose";0;0;0
"camara_municipal";0;0;0
"adocao";0;0,007;0,015
"suposto";0;0;0,032
"ristf";0;0;0
"meio_ambiente";0;0;0
"judiciario";0,005;0,153;0,078
"asseverar";0,21;0,092;0,768
"urgencia";0;0;0,443
"rj";0;0;0,01
"reg";0;0,094;0
"livre";0;0,001;0
"fiscalizacao";0,006;0;0,002
"coronavirus";0;0;0
"agrotoxico";0;0;0
"ag";0;0;0
"aduzir";0,023;0;0,041
"rol";0;0,005;0,001
"rer";0;0,006;0,013
"propositura";0;0;0,01
"numerar";0;0;0
"janeiro";0;0;0,201
"instituir";0;0,203;0
"exaurimento";0;0;0
"criar";0;0;0,05
"agenciar";0;0;0
"voltar";0;0;0,945
"titular";0,002;0;0
"republicar";0;0,016;0,005
"reconhecimento";0,026;0,004;0
"prover";0;0;0,43
"ex";0,002;0,181;0
"devido";0,036;0,064;0,618
"atribuir";0,655;0,168;0,054
"aprovacao";0;0;0
"setembro";0;0;0,386
"registrar";0;0;0,297
"emergencia";0;0;0
"doutrina";0;0;0
"servidor";0,643;0,426;0,178
"policiar";0;0;0,003
"partidario";0;0,442;0
"motivo";0,007;0,079;0,201
"combate";0;0;0
"alterar";0,01;0;0,087
"restar";0;0,314;0
"receber";0;0;0,821
"real";0,467;0;0
"proposito";0;0;0,315
"fatico";0,399;0;0
"constatar";0;0;0,153
"circunstanciar";0,449;0,262;0,776
"indeferimento";0;0,001;0
"democratico";0,932;0;0
"comissao";0;0;0,56
"negro";0;0;0
"identificacao";0;0;0,001
"cessar";0;0;0
"projeto";0;0,035;0,061
"direitos_humanos";0;0;0
"beneficiar";0;0;0,084
"repercussao_geral";0;0;0,42
"obrigacao";0;0,001;0
"ix";0,014;0;0
"discussao";0;0;0,315
"crime";0;0;0,052
"abril";0,002;0;0,005
"unanimidade";0;0;0
"seguranca_juridica";0,007;0,404;0
"resultante";0;0;0
"expressar";0,932;0,003;0,003
"vigencia";0,301;0,02;0
"valer";0,684;0;0
"suspender";0;0;0,126
"sociedade";0;0;0
"recurso_extraordinario";0;0;0,118
"medicar";0;0;0
"examinar";0;0,167;0,005
"estabelecimento";0;0;0
"comunicacao";0;0;0
"cidadao";0;0;0,155
"agir";0,179;0,023;0
"advocacia_geral_da_uniao";0,344;0;0
"reflexo";0;0;0,647
"poder_executivo";0,042;0,001;0,216
"incabivel";0;0;0
"hora";0;0,001;0
"federado";0;0;0
"estrangeiro";0;0;0
"vincular";0,403;0,02;0,001
"reparar";0;0;0,004
"reajuste";0;0,009;0
"partido_dos_trabalhadores";0;0;0
"obrigatorio";0,006;0,743;0,001
"curso";0,123;0;0,059
"competir";0;0,006;0,061
"advogado";0;0;0
"seguranca_publica";0;0;0,474
"resultar";0;0,052;0
"popular";0,017;0,003;0,73
"determinacao";0;0;0,155
"compreender";0,66;0,021;0,061
"coisa";0;0;0,293
"rio_de_janeiro";0,912;0,054;0,064
"isencao";0;0;0
"institucional";0;0;0,036
"estudo";0;0;0
"consequencia";0,877;0;0
"comprovar";0;0,83;0
"comprovacao";0;0,768;0
"politicas_publicas";0;0;0
"jurisdicao";0;0;0,445
"identificar";0,028;0,671;0,003
"excepcional";0,04;0,106;0,487
"referente";0;0;0,276
"prevencao";0,062;0;0,002
"paciente";0;0;0
"omissivo";0;0;0
"despacho";0,254;0;0
"capacidade";0;0;0
"maximo";0;0;0
"inscricao";0;0;0
"alinea";0,007;0;0
"afronta";0,242;0,457;0,565
"vigor";0;0;0,018
"vedacao";0,037;0;0,184
"solicitar";0;0;0,183
"publicacao";0,002;0;0,665
"distribuicao";0,098;0,555;0,198
"clausular";0,486;0;0,001
"cear";0,27;0,578;0,489
"carlos";0;0;0,679
"substituir";0,403;0,007;0
"oficiar";0;0;0,562
"julho";0;0;0,474
"improvido";0;0;0
"economia";0;0;0
"america";0;0,001;0
"vii";0;0,001;0,116
"seguir";0;0;0,012
"procedencia";0,02;0;0
"pleitear";0,904;0;0
"parcial";0;0;0
"juiz";0,147;0;0
"inscrever";0;0;0,002
"avaliacao";0;0;0
"regiao";0;0;0,001
"produzir";0,021;0,005;0,799
"oficial";0;0,002;0,001
"milhao";0;0;0
"lc";0,008;0,001;0
"integrar";0,006;0,019;0,474
"inconstitucional";0,761;0,005;0,001
"comum";0;0,008;0
"agosto";0,408;0;0
"potencialidade";0;0;0
"pessoal";0;0;0
"obter";0,03;0,322;0,142
"minas_gerais";0,846;0,001;0,002
"dano";0,184;0;0,038
"constar";0;0;0,94
"venezuelano";0;0,018;0
"suscitar";0;0;0,134
"sintese";0,038;0;0,152
"relatar";0;0,002;0
"reiterar";0,344;0,862;0,207
"prestacao";0;0,005;0,001
"existente";0,007;0;0,009
"consagrar";0;0;0
"barbosa";0;0;0,04
