"";"classe 1";"classe 2"
"defensor";0,395;1
"claro";1;0
"privativo";1;0
"piauí";0;1
"mesa";1;0
"ix";1;0,001
"debate";1;0
"ajuizamento";0;1
"orientação";1;0
"publicar";0;1
"produzir";1;0
"máximo";1;0
"vedação";1;0
"intervenção";1;0
"expressamente";1;0
"nível";1;0
"the";1;0
"praticar";1;0
"firmar";0;1
"defender";1;0,004
"manutenção";1;0
"registrar";1;0
"edição";1;0
"integrante";1;0
"grau";0,002;1
"alegar";0,24;1
"procuradoria";0;1
"compreender";0,906;1
"dentro";1;0
"regimento";1;0,135
"pará";0;1
"bahia";0;1
"prisão";1;0
"empregado";1;0
"mencionar";1;0,01
"luz";1;0
"absoluto";1;0
"mandato";1;0
"inexistência";0;1
"consequência";1;0
"funcionamento";1;0
"atendimento";0,048;1
"aspecto";1;0
"decidir";0,963;1
"parcial";0;1
"oportunidade";1;0,005
"valer";1;0
"mendonça";0;1
"souza";1;0,175
"colocar";1;0
"prova";1;0
"espaço";1;0
"violar";0,151;1
"rj";0;1
"rp";1;0
"inc";0,527;1
"campo";1;0
"distribuição";1;0
"mandar";0;1
"ademais";1;0,001
"implicar";1;0
"discussão";1;0,009
"silva";1;0,001
"súmula";0,046;1
"referente";1;0
"confederação";0;1
"previsto";1;0
"diferente";1;0
"vigente";1;0
"misto";1;0
"causar";0;1
"motivo";1;0,896
"dezembro";0,025;1
"elaboração";1;0
"crédito";1;0
"dúvida";1;0
"bom";1;0
"técnico";1;0
"violência";1;0
"vacinação";1;0
"regulamentar";1;0
"qualidade";1;0
"publicidade";1;0
"produção";1;0
"ordinário";0;1
"repercussão";0;1
"ordenamento";1;0
"cabível";0;1
"propor";0;1
"obrigatório";1;0
"acima";1;0
"estabelecido";1;0
"impugnação";0;1
"relevância";0,098;1
"teor";1;0,357
"sexual";1;0
"lugar";1;0
"alterar";1;0
"alegado";0;1
"nada";1;0
"realidade";1;0
"diretamente";1;0
"central";1;0
"escolha";1;0
"definição";1;0
"tão";1;0,928
"circunstância";1;0
"sanitário";1;0
"particular";1;0
"melhor";1;0
"deliberação";1;0
"voltar";1;0
"relacionado";1;0
"mudança";1;0
"monitoramento";1;0
"revisão";1;0
"recepção";0;1
"inquérito";1;0
"constar";1;0
"classe";0;1
"apto";0;1
"mero";0;1
"josé";1;0
"excepcional";1;0
"natural";1;0
"posição";1;0
"emprego";1;0
"competir";1;0
"real";1;0
"conformidade";0;1
"resultar";1;0,929
"of";1;0
"aí";1;0
"atingir";1;0
"suficiente";1;0
"ltda";0,821;1
"estrutural";1;0
"unanimidade";0;1
"sim";1;0
"compreensão";0;1
"decorrer";1;0
"analisar";0,118;1
"indicação";1;0,086
"popular";1;0
"amazona";0,367;1
"pensamento";1;0
"dano";1;0
"aumento";1;0
"pressuposto";0;1
"agora";1;0
"seguir";1;0,02
"total";1;0
"apreciação";0;1
"tributário";1;0
"adotado";1;0
"constitucionalmente";1;0
"efetividade";1;0,547
"posto";0;1
"achar";1;0
"palavra";1;0
"hora";1;0
"perda";0;1
"turma";0;1
"professor";1;0
"grifo";0;1
"paraíba";0;1
"físico";1;0
"sindicato";0,806;1
"secretaria";1;0
"criminal";1;0
"água";1;0
"imposto";1;0
"consideração";1;0,001
"pretender";1;0
"brasília";0;1
"vii";1;0
"prestador";1;0
"entanto";1;0
"limitação";1;0
"definitivo";0;1
"contido";0,922;1
"citar";0;1
"significar";1;0
"militar";1;0
"oficial";1;0
"impacto";1;0
"regular";1;0
"capacidade";1;0
"revogar";1;0,398
"reiterar";0;1
"nota";1;0,152
"crfb";1;0
"votar";0;1
"maranhão";0;1
"eficiência";1;0
"produto";1;0
"relatar";0;1
"dr";0;1
"extensão";0,304;1
"divergência";0;1
"constituinte";1;0
"permanente";1;0
"científico";1;0
"taxa";1;0
"menor";1;0
"falta";1;0
"restar";0;1
"proibir";1;0
"gerar";1;0
"vigência";1;0
"catarina";0;1
"prerrogativa";1;0
"destinação";1;0
"sujeito";1;0
"estrutura";1;0
"informar";1;0
"capaz";0;1
"futuro";1;0
"disciplina";1;0
"negro";0;1
"chegar";1;0
"presença";1;0,859
"honra";1;0
"temática";0;1
"discriminação";1;0
"improcedência";0;1
"anual";1;0
"importância";1;0
"propósito";0,66;1
"diploma";1;0,004
"papel";1;0
"caracterizar";0,001;1
"vítima";1;0
"existente";1;0
"postulado";0;1
"ilegal";1;0
"suspender";0;1
"temporário";1;0
"cenário";1;0
"br";1;0
"religioso";1;0
"exatamente";1;0,001
"escola";1;0
"excluir";1;0
"criança";1;0
"indireto";1;0,137
"passo";0;1
"hoje";1;0
"reduzir";1;0
"prisional";1;0
"aprovar";1;0
"igualmente";1;0
"conduta";1;0
"obstante";1;0
"buscar";1;0
"alagoas";0,076;1
"ppcdam";1;0
"pertinente";1;0
"favor";1;0
"ad";0;1
"aberto";1;0
"votação";1;0
"precisar";1;0
"grifar";0;1
"reunião";1;0
"histórico";1;0
"tudo";1;0,184
"ms";0;1
"março";0;1
"salário";1;0
"assistência";1;0
"setor";1;0
"pretensão";0;1
"infração";1;0
"disciplinar";1;0
"início";1;0,539
"veicular";0;1
"sistemático";1;0
"arma";1;0
"conflito";1;0
"espírito";0,944;1
"doutrina";1;0
"zona";1;0
"fático";1;0
"implementar";1;0
"carlos";0;1
"apresentado";0,912;1
"amicus";0;1
"subjetivo";0,185;1
