cujo;200;898
t;648;100
algum;134;933
três;136;895
durante;53;1005
04;634;232
05;625;248
28;470;478
terceiro;153;833
alguma;103;884
99;591;395
2024;445;297
nenhum;91;810
02;532;247
88;91;754
2012;199;581
100;186;680
31;254;491
g;257;456
2006;296;410
01;298;333
2009;200;492
60;61;668
verdade;87;654
07;383;173
si;121;595
2011;204;446
2002;176;417
tipo;35;664
vário;83;582
2013;205;392
33;330;315
mil;9;520
ambos;167;471
50;49;559
2001;194;416
225;57;551
2007;218;359
103;222;389
verdadeiro;62;546
2004;215;354
2010;176;359
2008;195;344
43;117;467
x;108;474
cento;11;529
nossa;52;515
2000;118;415
1992;107;429
lhes;56;495
2003;212;314
isto;76;472
l;183;159
ó;397;15
pouco;40;473
quatro;58;442
079;60;454
167;132;369
f;55;423
vinte;40;438
cinco;34;442
nome;12;464
000;25;328
muita;27;438
102;179;282
40;65;388
2005;166;281
90;47;413
62;45;371
39;58;355
1998;82;321
iniciar;121;299
xi;49;362
45;55;354
34;77;320
apesar;55;358
84;74;319
868;170;215
consoante;110;281
1997;78;282
1996;74;303
00;27;292
48;33;326
170;38;313
32;67;288
trinta;6;343
duodécimo;35;319
1990;37;302
1995;73;268
760;108;232
86;34;294
144;93;238
35;73;258
dez;12;298
mim;127;201
347;203;100
58;34;262
seis;28;266
101;110;190
h;42;257
52;17;263
80;62;235
bilhão;4;230
46;65;227
corrente;36;260
44;85;202
41;47;222
70;25;243
166;22;219
38;50;229
1967;30;251
69;52;222
m;56;171
1994;68;193
51;31;229
743;99;146
168;47;219
54;109;153
47;45;214
aquilo;18;243
93;65;191
36;57;195
206;26;214
65;25;224
95;84;165
1989;56;176
oito;5;243
979;41;208
57;28;210
1950;38;210
187;77;166
49;46;196
tentar;20;220
59;32;190
196;44;191
66;41;181
71;31;183
114;88;139
sessenta;3;222
67;42;181
134;55;172
1991;73;147
42;43;169
64;42;177
85;26;188
75;33;180
ninguém;10;203
56;27;181
1993;51;160
173;48;167
trabalhar;1;213
usar;6;183
72;17;185
331;46;159
nove;37;166
96;31;174
53;44;150
192;40;164
55;27;164
